observed_time,observed_power,powermode,predicted_time,predicted_power
820.898175239563,15.758,4_422400_1300500000_2133000000,790.6001,15.668868
809.7866773605347,16.414,4_422400_1300500000_3199000000,780.36426,16.374723
877.9302835464478,14.997,4_422400_1300500000_665600000,827.7445,15.13706
821.4521408081055,14.698,4_422400_1134750000_2133000000,762.4043,14.9915285
839.8268222808838,15.31,4_422400_1134750000_3199000000,743.93665,15.706652
852.2605895996094,14.193,4_422400_1134750000_665600000,800.9202,14.446864
808.3475828170776,13.893,4_422400_930750000_2133000000,732.2726,14.468143
817.2483444213867,14.304,4_422400_930750000_3199000000,711.1901,15.138506
849.2013216018677,13.291,4_422400_930750000_665600000,769.7952,13.75572
845.9745645523071,13.494,4_422400_726750000_2133000000,706.2013,14.072806
815.0970935821533,14.506,4_422400_726750000_3199000000,689.5144,14.711105
861.3495826721191,13.087,4_422400_726750000_665600000,742.526,13.353685
832.4973583221436,13.097,4_422400_522750000_2133000000,691.8931,13.77713
857.8817844390869,14.054,4_422400_522750000_3199000000,687.14465,14.355046
866.1048412322998,12.584,4_422400_522750000_665600000,736.42993,13.081287
863.9447689056396,13.3485,4_422400_318750000_2133000000,734.8385,13.536217
810.3137016296387,13.8,4_422400_318750000_3199000000,751.6815,14.080669
893.4187889099121,12.3805,4_422400_318750000_665600000,772.81525,12.838028
1126.8340349197388,13.3475,4_422400_114750000_2133000000,1110.8234,13.304593
1107.9572439193726,14.002,4_422400_114750000_3199000000,1137.3473,13.844331
1136.831760406494,12.382,4_422400_114750000_665600000,1127.8146,12.632297
499.16231632232666,17.415,4_729600_1300500000_2133000000,619.76917,16.588587
502.9175281524658,17.0685,4_729600_1300500000_3199000000,608.7327,17.421673
562.3559951782227,16.86,4_729600_1300500000_665600000,656.8712,15.77388
513.0500793457031,16.208,4_729600_1134750000_2133000000,581.54504,15.701394
495.5991506576538,17.017,4_729600_1134750000_3199000000,569.96716,16.558477
568.397045135498,15.3965,4_729600_1134750000_665600000,623.12866,15.013765
504.3827295303345,15.408,4_729600_930750000_2133000000,544.98615,15.01089
493.9620494842529,16.009,4_729600_930750000_3199000000,522.7977,15.791939
548.9625930786133,14.602,4_729600_930750000_665600000,591.88666,14.220259
505.150318145752,15.009,4_729600_726750000_2133000000,517.5635,14.517581
503.0884742736816,15.714,4_729600_726750000_3199000000,509.47354,15.19715
551.8378019332886,14.301,4_729600_726750000_665600000,581.5018,13.6920185
493.3909177780152,14.2535,4_729600_522750000_2133000000,516.94836,14.113837
488.3232116699219,15.41,4_729600_522750000_3199000000,519.4938,14.764837
576.2484073638916,14.6555,4_729600_522750000_665600000,595.7346,13.333157
