powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_114750000_665600000,1,126.27708,13.12758,96.06263732910156,11.742
8_422400_114750000_665600000,1,140.80385,12.772447,77.94134140014648,12.141
12_422400_114750000_665600000,1,224.62363,14.542121,77.83489608764648,12.143
12_422400_318750000_665600000,1,119.5152,15.184865,76.8740005493164,12.444
4_422400_522750000_665600000,1,105.64341,12.60732,81.39763259887695,12.043
8_729600_114750000_665600000,1,107.31091,12.665572,50.78430366516113,12.5405
12_729600_318750000_665600000,1,98.10122,14.809568,48.55324745178223,12.542
8_729600_522750000_665600000,1,60.43222,13.392521,49.14412689208984,12.541
8_1036800_318750000_665600000,1,40.81472,12.478414,38.65403366088867,12.644
4_1344000_114750000_665600000,1,88.57704,15.13403,33.711265563964844,12.844
8_1344000_114750000_665600000,1,59.67453,13.036962,32.14587116241455,13.142
12_1344000_114750000_665600000,1,149.65192,13.935748,31.67193603515625,13.243
12_1651200_114750000_665600000,1,129.48161,14.0346365,28.95889568328857,13.744
4_1651200_318750000_665600000,1,70.84506,15.269469,29.19398403167725,13.646
8_1651200_318750000_665600000,1,23.66166,13.390724,27.07155132293701,13.746
4_1651200_522750000_665600000,1,74.44968,15.981842,30.73207950592041,13.545
12_1651200_522750000_2133000000,1,8.547904,15.459509,23.94384002685547,14.948
4_1958400_318750000_665600000,1,75.82216,16.698582,25.683088302612305,14.046
4_1958400_318750000_3199000000,1,36.049202,18.950079,20.414671897888184,16.153
8_1958400_318750000_665600000,1,32.41938,14.7732935,24.26191997528076,14.547
4_1958400_522750000_665600000,1,77.81384,17.520245,24.949935913085938,14.447
4_1958400_522750000_3199000000,1,34.632446,18.695267,21.00601577758789,16.053
8_1958400_522750000_2133000000,1,12.314628,15.213093,21.411327362060547,15.35
12_1958400_522750000_2133000000,1,4.170241,16.291239,21.255231857299805,15.751
4_2201600_318750000_3199000000,1,39.597107,20.618114,18.83348846435547,16.351
12_2201600_318750000_3199000000,1,7.8639054,17.509373,17.82817554473877,17.857
8_2201600_522750000_3199000000,1,18.3476,18.533808,18.225695610046387,17.761
12_2201600_522750000_2133000000,1,2.7222307,17.240025,18.69481658935547,17.155
12_2201600_1134750000_3199000000,1,16.423717,26.406242,17.827872276306152,19.76
