cores,cpu,gpu,mem,bs,predicted_power
4,422400,114750000,665600000,1,13.12758
4,422400,114750000,2133000000,1,13.288045
4,422400,114750000,3199000000,1,14.827374
8,422400,114750000,665600000,1,12.772447
8,422400,114750000,2133000000,1,12.140754
8,422400,114750000,3199000000,1,13.754006
12,422400,114750000,665600000,1,14.542121
12,422400,114750000,2133000000,1,13.556505
12,422400,114750000,3199000000,1,14.650202
4,422400,318750000,665600000,1,12.439753
4,422400,318750000,2133000000,1,11.654334
4,422400,318750000,3199000000,1,13.035217
8,422400,318750000,665600000,1,12.927014
8,422400,318750000,2133000000,1,11.261264
8,422400,318750000,3199000000,1,12.430108
12,422400,318750000,665600000,1,15.184865
12,422400,318750000,2133000000,1,13.3365965
12,422400,318750000,3199000000,1,13.8706045
4,422400,522750000,665600000,1,12.60732
4,422400,522750000,2133000000,1,10.811506
4,422400,522750000,3199000000,1,11.72281
8,422400,522750000,665600000,1,13.70881
8,422400,522750000,2133000000,1,11.400011
8,422400,522750000,3199000000,1,11.923533
12,422400,522750000,665600000,1,16.122662
12,422400,522750000,2133000000,1,14.130126
12,422400,522750000,3199000000,1,14.266162
4,422400,726750000,665600000,1,13.960544
4,422400,726750000,2133000000,1,11.808089
4,422400,726750000,3199000000,1,12.26095
8,422400,726750000,665600000,1,15.618632
8,422400,726750000,2133000000,1,13.43275
8,422400,726750000,3199000000,1,13.402281
12,422400,726750000,665600000,1,18.303259
12,422400,726750000,2133000000,1,16.67218
12,422400,726750000,3199000000,1,16.305115
4,422400,930750000,665600000,1,16.375051
4,422400,930750000,2133000000,1,14.297028
4,422400,930750000,3199000000,1,14.610559
8,422400,930750000,665600000,1,18.227585
8,422400,930750000,2133000000,1,16.377432
8,422400,930750000,3199000000,1,16.021212
12,422400,930750000,665600000,1,21.156775
12,422400,930750000,2133000000,1,19.756058
12,422400,930750000,3199000000,1,19.187523
4,422400,1134750000,665600000,1,19.231647
4,422400,1134750000,2133000000,1,17.336891
4,422400,1134750000,3199000000,1,17.331358
8,422400,1134750000,665600000,1,21.176334
8,422400,1134750000,2133000000,1,19.48912
8,422400,1134750000,3199000000,1,18.988995
12,422400,1134750000,665600000,1,24.276257
12,422400,1134750000,2133000000,1,22.886374
12,422400,1134750000,3199000000,1,22.216785
4,422400,1300500000,665600000,1,21.801682
4,422400,1300500000,2133000000,1,20.006523
4,422400,1300500000,3199000000,1,19.852646
8,422400,1300500000,665600000,1,23.80061
8,422400,1300500000,2133000000,1,22.118868
8,422400,1300500000,3199000000,1,21.502739
12,422400,1300500000,665600000,1,26.857033
12,422400,1300500000,2133000000,1,25.43042
12,422400,1300500000,3199000000,1,24.713661
4,729600,114750000,665600000,1,13.602936
4,729600,114750000,2133000000,1,14.083109
4,729600,114750000,3199000000,1,15.7083845
8,729600,114750000,665600000,1,12.665572
8,729600,114750000,2133000000,1,12.208583
8,729600,114750000,3199000000,1,14.125434
12,729600,114750000,665600000,1,14.273472
12,729600,114750000,2133000000,1,13.366124
12,729600,114750000,3199000000,1,14.713155
4,729600,318750000,665600000,1,12.602151
4,729600,318750000,2133000000,1,12.138858
4,729600,318750000,3199000000,1,13.6549425
8,729600,318750000,665600000,1,12.58631
8,729600,318750000,2133000000,1,10.902579
8,729600,318750000,3199000000,1,12.485593
12,729600,318750000,665600000,1,14.809568
12,729600,318750000,2133000000,1,13.013573
12,729600,318750000,3199000000,1,13.79647
4,729600,522750000,665600000,1,12.835829
4,729600,522750000,2133000000,1,11.108393
4,729600,522750000,3199000000,1,12.260934
8,729600,522750000,665600000,1,13.392521
8,729600,522750000,2133000000,1,11.144792
