cores,cpu,gpu,mem,bs,predicted_time
4,422400,114750000,665600000,1,81.249565
4,422400,114750000,2133000000,1,74.38647
4,422400,114750000,3199000000,1,86.870476
8,422400,114750000,665600000,1,72.797966
8,422400,114750000,2133000000,1,68.16473
8,422400,114750000,3199000000,1,78.95787
12,422400,114750000,665600000,1,74.60552
12,422400,114750000,2133000000,1,68.32139
12,422400,114750000,3199000000,1,77.318954
4,422400,318750000,665600000,1,72.598045
4,422400,318750000,2133000000,1,67.94398
4,422400,318750000,3199000000,1,72.68038
8,422400,318750000,665600000,1,63.52297
8,422400,318750000,2133000000,1,62.075306
8,422400,318750000,3199000000,1,68.33101
12,422400,318750000,665600000,1,63.00637
12,422400,318750000,2133000000,1,58.116505
12,422400,318750000,3199000000,1,66.135345
4,422400,522750000,665600000,1,73.19033
4,422400,522750000,2133000000,1,69.89542
4,422400,522750000,3199000000,1,69.108315
8,422400,522750000,665600000,1,66.005585
8,422400,522750000,2133000000,1,62.752373
8,422400,522750000,3199000000,1,68.10414
12,422400,522750000,665600000,1,63.591045
12,422400,522750000,2133000000,1,58.706005
12,422400,522750000,3199000000,1,66.093056
4,422400,726750000,665600000,1,76.44538
4,422400,726750000,2133000000,1,73.51961
4,422400,726750000,3199000000,1,69.876884
8,422400,726750000,665600000,1,68.31791
8,422400,726750000,2133000000,1,64.190056
8,422400,726750000,3199000000,1,70.02296
12,422400,726750000,665600000,1,64.348114
12,422400,726750000,2133000000,1,60.369915
12,422400,726750000,3199000000,1,67.266716
4,422400,930750000,665600000,1,76.0447
4,422400,930750000,2133000000,1,78.01125
4,422400,930750000,3199000000,1,72.755974
8,422400,930750000,665600000,1,70.46232
8,422400,930750000,2133000000,1,66.62533
8,422400,930750000,3199000000,1,71.36323
12,422400,930750000,665600000,1,65.634026
12,422400,930750000,2133000000,1,62.261723
12,422400,930750000,3199000000,1,68.202644
4,422400,1134750000,665600000,1,73.83768
4,422400,1134750000,2133000000,1,82.42839
4,422400,1134750000,3199000000,1,75.76985
8,422400,1134750000,665600000,1,71.49772
8,422400,1134750000,2133000000,1,70.09908
8,422400,1134750000,3199000000,1,73.1549
12,422400,1134750000,665600000,1,67.837364
12,422400,1134750000,2133000000,1,62.38742
12,422400,1134750000,3199000000,1,67.57189
4,422400,1300500000,665600000,1,70.55204
4,422400,1300500000,2133000000,1,85.49863
4,422400,1300500000,3199000000,1,79.425804
8,422400,1300500000,665600000,1,71.732735
8,422400,1300500000,2133000000,1,71.67158
8,422400,1300500000,3199000000,1,74.1703
12,422400,1300500000,665600000,1,69.418045
12,422400,1300500000,2133000000,1,62.59176
12,422400,1300500000,3199000000,1,67.11225
4,729600,114750000,665600000,1,65.94494
4,729600,114750000,2133000000,1,57.988956
4,729600,114750000,3199000000,1,71.49858
8,729600,114750000,665600000,1,58.31783
8,729600,114750000,2133000000,1,53.369846
8,729600,114750000,3199000000,1,62.03935
12,729600,114750000,665600000,1,62.961765
12,729600,114750000,2133000000,1,54.676556
12,729600,114750000,3199000000,1,58.82026
4,729600,318750000,665600000,1,56.596752
