powermode,predicted_time,predicted_power,observed_time,observed_power
4_422400_522750000_665600000,353.23578,17.665186,461.04286193847656,16.256
4_422400_318750000_665600000,411.51193,16.927685,465.1280364990234,15.956
4_422400_114750000_665600000,756.265,16.169247,806.7547912597656,14.149
4_729600_726750000_2133000000,231.43799,19.509695,242.41954040527344,20.462
4_729600_522750000_2133000000,237.69847,18.15352,246.2251510620117,19.864
4_729600_318750000_665600000,382.9104,16.311333,386.4416046142578,16.557
4_1036800_726750000_2133000000,185.30328,19.84473,187.1620330810547,22.872
4_1036800_522750000_2133000000,206.71893,18.401457,205.1265106201172,21.4795
4_1036800_522750000_665600000,309.57712,17.369488,328.19407653808594,17.67
4_1036800_318750000_2133000000,307.40164,17.035696,299.7265014648437,18.776
4_1036800_318750000_665600000,361.88373,16.147278,381.7682495117188,16.958
4_1344000_1134750000_2133000000,153.33485,26.63664,152.7948760986328,26.678
4_1344000_522750000_2133000000,192.45,18.854906,196.747314453125,21.684
4_1344000_318750000_2133000000,296.37167,17.3129,297.82798767089844,18.873
4_1344000_114750000_2133000000,717.0475,15.901036,779.0172119140625,15.353
4_1344000_114750000_665600000,725.36346,15.059567,788.5210266113281,14.45
4_1651200_930750000_3199000000,132.89346,29.219183,127.48453140258788,30.382
4_1651200_726750000_2133000000,147.35135,22.427826,159.34868621826172,25.173
4_1651200_726750000_3199000000,138.77495,25.67578,141.59329986572266,27.381
4_1651200_318750000_2133000000,292.49643,18.045958,293.4605255126953,19.177
4_1651200_114750000_665600000,732.13464,15.274576,785.2939147949219,14.851
4_1958400_1134750000_3199000000,119.99872,35.57488,111.26984024047852,35.298
4_1958400_930750000_3199000000,121.875626,32.02961,118.25451278686523,32.391
4_1958400_726750000_2133000000,152.30664,25.165247,154.20059204101562,25.974
4_1958400_318750000_2133000000,297.32376,19.204666,291.2958984375,19.679
4_1958400_114750000_665600000,743.2435,15.67283,783.8623962402344,15.252
4_2201600_1134750000_3199000000,115.37134,37.810715,105.63503646850586,38.198
8_422400_522750000_2133000000,276.632,18.539488,320.9427490234375,18.262
8_422400_522750000_665600000,335.8321,18.01478,361.0164031982422,17.059
8_422400_318750000_665600000,381.42166,16.625347,403.6057739257813,16.456
8_729600_522750000_2133000000,216.18042,18.108942,220.17342376708984,20.964
8_729600_522750000_665600000,314.74802,17.416012,329.66046142578125,17.66
8_729600_318750000_665600000,356.27866,16.328188,382.1400604248047,16.658
8_1036800_726750000_2133000000,168.9425,19.353102,175.2666015625,23.474
8_1036800_522750000_665600000,304.01096,17.032595,324.1360321044922,18.071
8_1344000_930750000_2133000000,137.35933,23.480747,147.085205078125,27.281
8_1344000_930750000_3199000000,154.67659,25.959133,130.70178985595703,29.882
8_1344000_726750000_2133000000,149.68257,21.014635,163.52635192871094,24.175
8_1344000_726750000_3199000000,146.77048,23.32258,152.75192260742188,26.679
8_1344000_522750000_665600000,296.6992,16.82572,322.0476531982422,18.1165
8_1344000_114750000_2133000000,706.53546,15.173782,777.461181640625,15.454
8_1344000_114750000_665600000,721.1946,14.491962,787.6963195800781,14.55
8_1651200_930750000_3199000000,131.74689,28.639925,121.7020149230957,31.384
8_1651200_726750000_2133000000,149.81056,22.740707,155.66814422607422,25.174
8_1651200_726750000_3199000000,131.70107,25.219963,140.29417419433594,27.8815
8_1651200_522750000_2133000000,183.81874,20.274593,195.4052963256836,22.085
8_1651200_114750000_2133000000,708.60535,15.652421,776.3280944824219,15.754
8_1958400_1300500000_3199000000,124.46651,37.567932,100.53059005737305,41.222
8_1958400_1134750000_3199000000,119.66345,34.76785,107.52984237670898,36.902
8_1958400_930750000_3199000000,117.19745,31.336828,115.09224319458008,33.394
8_1958400_726750000_2133000000,159.63661,24.654495,152.8165740966797,26.475
8_2201600_1300500000_3199000000,120.410355,39.732895,97.0578842163086,42.832
8_2201600_1134750000_3199000000,117.382645,36.913208,104.03153610229492,39.1
12_422400_522750000_2133000000,261.30685,19.028358,304.94342041015625,18.463
12_422400_522750000_665600000,330.8359,18.199469,348.2911376953125,17.46
12_729600_522750000_2133000000,211.229,18.953648,218.65411376953125,20.968
12_1036800_726750000_2133000000,166.9064,21.485712,170.03355407714844,23.975
12_1036800_522750000_2133000000,195.61693,19.509285,199.2823028564453,21.6395
12_1036800_114750000_2133000000,702.362,15.862862,778.8744812011719,15.355
12_1344000_726750000_2133000000,158.94418,22.455782,162.88712310791016,24.581
12_1344000_726750000_3199000000,148.06541,24.635466,148.60578155517578,26.784
12_1344000_522750000_665600000,301.2446,18.558653,321.8185729980469,18.162
12_1651200_1134750000_3199000000,131.66922,31.730396,110.29159927368164,35.893
12_1651200_930750000_2133000000,150.74826,25.888031,136.82666015625,28.486
12_1651200_930750000_3199000000,128.171,28.338348,120.7235221862793,31.885
12_1651200_726750000_2133000000,162.90363,23.631424,155.59056091308594,25.573
12_1651200_726750000_3199000000,136.23022,25.858334,139.74433135986328,27.9815
12_1958400_1300500000_3199000000,130.03874,37.215164,99.86552047729492,42.017
12_1958400_1134750000_3199000000,123.290535,34.425674,107.28547286987305,37.696
12_1958400_930750000_3199000000,122.312355,30.992466,113.3576316833496,33.896
12_2201600_1300500000_3199000000,126.027054,39.348927,96.18417739868164,43.839
12_2201600_1134750000_3199000000,122.08649,36.55944,102.9185791015625,39.503
