cores,cpu,gpu,mem,predicted_power
4.0,422400.0,114750000.0,665600000.0,16.169247
4.0,422400.0,114750000.0,2133000000.0,16.140577
4.0,422400.0,114750000.0,3199000000.0,16.51146
4.0,422400.0,318750000.0,665600000.0,16.927685
4.0,422400.0,318750000.0,2133000000.0,17.06571
4.0,422400.0,318750000.0,3199000000.0,17.828444
4.0,422400.0,522750000.0,665600000.0,17.665186
4.0,422400.0,522750000.0,2133000000.0,18.109829
4.0,422400.0,522750000.0,3199000000.0,19.136917
4.0,422400.0,726750000.0,665600000.0,18.580208
4.0,422400.0,726750000.0,2133000000.0,19.287405
4.0,422400.0,726750000.0,3199000000.0,20.518368
4.0,422400.0,930750000.0,665600000.0,19.718449
4.0,422400.0,930750000.0,2133000000.0,20.626472
4.0,422400.0,930750000.0,3199000000.0,21.864834
4.0,422400.0,1134750000.0,665600000.0,20.997688
4.0,422400.0,1134750000.0,2133000000.0,22.05515
4.0,422400.0,1134750000.0,3199000000.0,23.241444
4.0,422400.0,1300500000.0,665600000.0,22.157621
4.0,422400.0,1300500000.0,2133000000.0,23.294973
4.0,422400.0,1300500000.0,3199000000.0,24.484867
4.0,729600.0,114750000.0,665600000.0,15.588663
4.0,729600.0,114750000.0,2133000000.0,15.619896
4.0,729600.0,114750000.0,3199000000.0,16.50601
4.0,729600.0,318750000.0,665600000.0,16.311333
4.0,729600.0,318750000.0,2133000000.0,16.799717
4.0,729600.0,318750000.0,3199000000.0,17.944746
4.0,729600.0,522750000.0,665600000.0,17.33411
4.0,729600.0,522750000.0,2133000000.0,18.15352
4.0,729600.0,522750000.0,3199000000.0,19.403954
4.0,729600.0,726750000.0,665600000.0,18.501486
4.0,729600.0,726750000.0,2133000000.0,19.509695
4.0,729600.0,726750000.0,3199000000.0,20.804281
4.0,729600.0,930750000.0,665600000.0,19.796253
4.0,729600.0,930750000.0,2133000000.0,20.942669
4.0,729600.0,930750000.0,3199000000.0,22.328232
4.0,729600.0,1134750000.0,665600000.0,21.252676
4.0,729600.0,1134750000.0,2133000000.0,22.504992
4.0,729600.0,1134750000.0,3199000000.0,24.366688
4.0,729600.0,1300500000.0,665600000.0,22.535648
4.0,729600.0,1300500000.0,2133000000.0,24.10319
4.0,729600.0,1300500000.0,3199000000.0,27.211855
4.0,1036800.0,114750000.0,665600000.0,15.063523
4.0,1036800.0,114750000.0,2133000000.0,15.62396
4.0,1036800.0,114750000.0,3199000000.0,16.777
4.0,1036800.0,318750000.0,665600000.0,16.147278
4.0,1036800.0,318750000.0,2133000000.0,17.035696
4.0,1036800.0,318750000.0,3199000000.0,18.315054
4.0,1036800.0,522750000.0,665600000.0,17.369488
4.0,1036800.0,522750000.0,2133000000.0,18.401457
4.0,1036800.0,522750000.0,3199000000.0,19.917444
4.0,1036800.0,726750000.0,665600000.0,18.627316
4.0,1036800.0,726750000.0,2133000000.0,19.84473
4.0,1036800.0,726750000.0,3199000000.0,21.54304
4.0,1036800.0,930750000.0,665600000.0,20.103643
4.0,1036800.0,930750000.0,2133000000.0,21.48473
4.0,1036800.0,930750000.0,3199000000.0,23.625978
4.0,1036800.0,1134750000.0,665600000.0,21.71723
4.0,1036800.0,1134750000.0,2133000000.0,23.907835
4.0,1036800.0,1134750000.0,3199000000.0,27.141737
4.0,1036800.0,1300500000.0,665600000.0,23.217398
4.0,1036800.0,1300500000.0,2133000000.0,26.714405
