cores,cpu,gpu,mem,predicted_time
4.0,422400.0,114750000.0,665600000.0,829.95447
4.0,422400.0,114750000.0,2133000000.0,819.07513
4.0,422400.0,114750000.0,3199000000.0,830.3397
4.0,422400.0,318750000.0,665600000.0,475.43686
4.0,422400.0,318750000.0,2133000000.0,420.82935
4.0,422400.0,318750000.0,3199000000.0,404.63718
4.0,422400.0,522750000.0,665600000.0,441.5271
4.0,422400.0,522750000.0,2133000000.0,393.11053
4.0,422400.0,522750000.0,3199000000.0,375.91144
4.0,422400.0,726750000.0,665600000.0,446.19037
4.0,422400.0,726750000.0,2133000000.0,416.13876
4.0,422400.0,726750000.0,3199000000.0,377.3288
4.0,422400.0,930750000.0,665600000.0,449.24048
4.0,422400.0,930750000.0,2133000000.0,446.32312
4.0,422400.0,930750000.0,3199000000.0,379.3341
4.0,422400.0,1134750000.0,665600000.0,453.69684
4.0,422400.0,1134750000.0,2133000000.0,413.39996
4.0,422400.0,1134750000.0,3199000000.0,383.99927
4.0,422400.0,1300500000.0,665600000.0,460.25458
4.0,422400.0,1300500000.0,2133000000.0,408.21738
4.0,422400.0,1300500000.0,3199000000.0,389.3266
4.0,729600.0,114750000.0,665600000.0,805.31323
4.0,729600.0,114750000.0,2133000000.0,786.3725
4.0,729600.0,114750000.0,3199000000.0,786.31744
4.0,729600.0,318750000.0,665600000.0,399.0098
4.0,729600.0,318750000.0,2133000000.0,324.30902
4.0,729600.0,318750000.0,3199000000.0,304.87515
4.0,729600.0,522750000.0,665600000.0,345.12128
4.0,729600.0,522750000.0,2133000000.0,260.9871
4.0,729600.0,522750000.0,3199000000.0,246.81926
4.0,729600.0,726750000.0,665600000.0,332.5915
4.0,729600.0,726750000.0,2133000000.0,253.81973
4.0,729600.0,726750000.0,3199000000.0,240.11961
4.0,729600.0,930750000.0,665600000.0,317.07776
4.0,729600.0,930750000.0,2133000000.0,257.6729
4.0,729600.0,930750000.0,3199000000.0,240.08426
4.0,729600.0,1134750000.0,665600000.0,312.70636
4.0,729600.0,1134750000.0,2133000000.0,257.73456
4.0,729600.0,1134750000.0,3199000000.0,243.58707
4.0,729600.0,1300500000.0,665600000.0,318.85175
4.0,729600.0,1300500000.0,2133000000.0,259.20477
4.0,729600.0,1300500000.0,3199000000.0,249.64534
4.0,1036800.0,114750000.0,665600000.0,798.468
4.0,1036800.0,114750000.0,2133000000.0,781.14276
4.0,1036800.0,114750000.0,3199000000.0,784.40875
4.0,1036800.0,318750000.0,665600000.0,387.79865
4.0,1036800.0,318750000.0,2133000000.0,307.686
4.0,1036800.0,318750000.0,3199000000.0,297.33484
4.0,1036800.0,522750000.0,665600000.0,332.49255
4.0,1036800.0,522750000.0,2133000000.0,223.21544
4.0,1036800.0,522750000.0,3199000000.0,210.9431
4.0,1036800.0,726750000.0,665600000.0,315.3716
4.0,1036800.0,726750000.0,2133000000.0,207.96376
4.0,1036800.0,726750000.0,3199000000.0,190.62901
4.0,1036800.0,930750000.0,665600000.0,298.8867
4.0,1036800.0,930750000.0,2133000000.0,186.62285
4.0,1036800.0,930750000.0,3199000000.0,179.33275
4.0,1036800.0,1134750000.0,665600000.0,283.1074
4.0,1036800.0,1134750000.0,2133000000.0,193.5586
4.0,1036800.0,1134750000.0,3199000000.0,174.91026
4.0,1036800.0,1300500000.0,665600000.0,280.3305
4.0,1036800.0,1300500000.0,2133000000.0,189.93419
4.0,1036800.0,1300500000.0,3199000000.0,177.8997
4.0,1344000.0,114750000.0,665600000.0,793.4424
4.0,1344000.0,114750000.0,2133000000.0,778.73334
4.0,1344000.0,114750000.0,3199000000.0,781.97327
4.0,1344000.0,318750000.0,665600000.0,379.17578
4.0,1344000.0,318750000.0,2133000000.0,301.0784
4.0,1344000.0,318750000.0,3199000000.0,290.79886
4.0,1344000.0,522750000.0,665600000.0,325.5702
4.0,1344000.0,522750000.0,2133000000.0,210.80966
4.0,1344000.0,522750000.0,3199000000.0,201.24655
4.0,1344000.0,726750000.0,665600000.0,309.6599
4.0,1344000.0,726750000.0,2133000000.0,193.47563
4.0,1344000.0,726750000.0,3199000000.0,169.18675
4.0,1344000.0,930750000.0,665600000.0,291.39383
4.0,1344000.0,930750000.0,2133000000.0,161.2162
4.0,1344000.0,930750000.0,3199000000.0,154.25331
4.0,1344000.0,1134750000.0,665600000.0,281.93958
4.0,1344000.0,1134750000.0,2133000000.0,166.5819
4.0,1344000.0,1134750000.0,3199000000.0,145.48058
4.0,1344000.0,1300500000.0,665600000.0,278.9716
4.0,1344000.0,1300500000.0,2133000000.0,163.053
4.0,1344000.0,1300500000.0,3199000000.0,142.01302
4.0,1651200.0,114750000.0,665600000.0,788.5385
4.0,1651200.0,114750000.0,2133000000.0,777.0752
4.0,1651200.0,114750000.0,3199000000.0,777.2073
4.0,1651200.0,318750000.0,665600000.0,373.6368
4.0,1651200.0,318750000.0,2133000000.0,299.35205
4.0,1651200.0,318750000.0,3199000000.0,288.52023
4.0,1651200.0,522750000.0,665600000.0,321.28796
4.0,1651200.0,522750000.0,2133000000.0,206.9226
