powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_114750000_665600000,1,231.851,13.043388,77.86630249023438,13.046
4_422400_318750000_665600000,1,130.38824,12.37421,72.16232299804688,13.1445
8_422400_318750000_665600000,1,102.197266,13.126006,67.61603164672852,13.345
12_422400_318750000_665600000,1,134.41487,16.49802,67.49086380004883,13.347
4_422400_522750000_665600000,1,96.96349,12.696452,79.32681655883789,12.7935
8_729600_114750000_665600000,1,200.38644,13.313985,52.644527435302734,13.644
4_729600_318750000_665600000,1,118.55179,12.846716,46.49732780456543,14.045
8_729600_318750000_665600000,1,76.13244,13.090772,43.19607925415039,14.046
4_1036800_318750000_665600000,1,116.83327,13.685289,36.33598327636719,14.65
12_1036800_318750000_665600000,1,97.09943,16.317247,34.854400634765625,15.151
8_1344000_318750000_665600000,1,57.283665,13.690315,30.46473598480225,15.753
12_1344000_318750000_665600000,1,80.958336,16.444712,30.96326446533203,15.653
4_1344000_522750000_665600000,1,104.63407,14.843179,32.558335304260254,15.152
8_1344000_522750000_2133000000,1,16.555635,13.616356,25.812560081481934,16.557
4_1651200_114750000_665600000,1,201.03961,17.380312,51.78033447265625,13.645
4_1651200_318750000_665600000,1,132.9057,16.167265,27.36411190032959,15.756
4_1651200_522750000_665600000,1,118.175255,16.450878,26.07761573791504,16.0065
4_1651200_522750000_2133000000,1,57.433853,16.55586,22.63643169403076,17.456
8_1651200_522750000_665600000,1,51.791317,17.608395,25.53644847869873,16.6585
12_1651200_522750000_665600000,1,53.3348,21.53866,25.029839515686035,16.958
12_1651200_522750000_2133000000,1,19.544216,20.49608,20.87257575988769,18.214
8_1958400_318750000_665600000,1,85.620674,15.86389,25.10321617126465,16.7575
8_1958400_318750000_2133000000,1,14.031204,15.982429,21.16374397277832,17.918
4_1958400_522750000_665600000,1,132.95981,18.259048,24.884575843811035,17.1585
4_1958400_522750000_3199000000,1,53.445118,21.203398,18.208927154541016,19.716
8_1958400_522750000_2133000000,1,29.131538,18.21654,19.04729557037353,18.2625
4_2201600_318750000_665600000,1,164.84065,19.135702,23.78742408752441,17.3605
4_2201600_522750000_3199000000,1,63.159874,23.03438,17.253727912902832,20.468
8_2201600_522750000_2133000000,1,40.142536,20.245266,17.829855918884277,19.916
12_2201600_522750000_3199000000,1,19.412357,24.051489,16.944543838500977,21.021
4_2201600_726750000_2133000000,1,94.885826,22.855125,17.571231842041016,20.065
4_2201600_930750000_3199000000,1,81.20252,27.329353,16.659951210021973,21.0595
8_2201600_930750000_3199000000,1,57.956444,29.170073,16.1494722366333,21.817
12_2201600_930750000_3199000000,1,52.055885,33.832645,15.914127826690674,23.32
12_2201600_1134750000_3199000000,1,65.00968,39.209827,15.638911724090576,25.3735
12_2201600_1300500000_3199000000,1,78.07892,43.64724,15.366144180297852,26.929
