cores,cpu,gpu,mem,bs,predicted_power
4,422400,114750000,665600000,1,13.043388
4,422400,114750000,2133000000,1,14.380434
4,422400,114750000,3199000000,1,16.076181
8,422400,114750000,665600000,1,13.288485
8,422400,114750000,2133000000,1,12.828238
8,422400,114750000,3199000000,1,14.394084
12,422400,114750000,665600000,1,15.475004
12,422400,114750000,2133000000,1,14.529872
12,422400,114750000,3199000000,1,15.217117
4,422400,318750000,665600000,1,12.37421
4,422400,318750000,2133000000,1,12.765172
4,422400,318750000,3199000000,1,14.437407
8,422400,318750000,665600000,1,13.126006
8,422400,318750000,2133000000,1,11.453826
8,422400,318750000,3199000000,1,12.6896925
12,422400,318750000,665600000,1,16.49802
12,422400,318750000,2133000000,1,14.287978
12,422400,318750000,3199000000,1,14.783328
4,422400,522750000,665600000,1,12.696452
4,422400,522750000,2133000000,1,11.740771
4,422400,522750000,3199000000,1,13.079726
8,422400,522750000,665600000,1,14.341781
8,422400,522750000,2133000000,1,11.557666
8,422400,522750000,3199000000,1,12.596361
12,422400,522750000,665600000,1,18.897274
12,422400,522750000,2133000000,1,16.415941
12,422400,522750000,3199000000,1,16.373999
4,422400,726750000,665600000,1,14.399908
4,422400,726750000,2133000000,1,12.257843
4,422400,726750000,3199000000,1,13.458253
8,422400,726750000,665600000,1,17.303167
8,422400,726750000,2133000000,1,14.984646
8,422400,726750000,3199000000,1,15.072462
12,422400,726750000,665600000,1,22.638107
12,422400,726750000,2133000000,1,21.066837
12,422400,726750000,3199000000,1,20.692377
4,422400,930750000,665600000,1,17.753683
4,422400,930750000,2133000000,1,15.714367
4,422400,930750000,3199000000,1,16.417536
8,422400,930750000,665600000,1,21.847593
8,422400,930750000,2133000000,1,20.193129
8,422400,930750000,3199000000,1,19.771902
12,422400,930750000,665600000,1,27.735905
12,422400,930750000,2133000000,1,26.385752
12,422400,930750000,3199000000,1,25.850332
4,422400,1134750000,665600000,1,22.134691
4,422400,1134750000,2133000000,1,20.610052
4,422400,1134750000,3199000000,1,20.833918
8,422400,1134750000,665600000,1,27.030474
8,422400,1134750000,2133000000,1,25.538952
8,422400,1134750000,3199000000,1,24.926548
12,422400,1134750000,665600000,1,33.11317
12,422400,1134750000,2133000000,1,31.811876
12,422400,1134750000,3199000000,1,31.266333
4,422400,1300500000,665600000,1,26.294474
4,422400,1300500000,2133000000,1,24.885267
4,422400,1300500000,3199000000,1,24.788446
8,422400,1300500000,665600000,1,31.39265
