cores,cpu,gpu,mem,bs,predicted_time
4,422400,114750000,665600000,1,124.58528
4,422400,114750000,2133000000,1,72.271996
4,422400,114750000,3199000000,1,78.20183
8,422400,114750000,665600000,1,87.3405
8,422400,114750000,2133000000,1,51.589943
8,422400,114750000,3199000000,1,61.826035
12,422400,114750000,665600000,1,77.65602
12,422400,114750000,2133000000,1,51.183533
12,422400,114750000,3199000000,1,59.716446
4,422400,318750000,665600000,1,69.36018
4,422400,318750000,2133000000,1,51.041397
4,422400,318750000,3199000000,1,52.669655
8,422400,318750000,665600000,1,58.113007
8,422400,318750000,2133000000,1,45.69432
8,422400,318750000,3199000000,1,51.529808
12,422400,318750000,665600000,1,54.427647
12,422400,318750000,2133000000,1,44.48459
12,422400,318750000,3199000000,1,49.86664
4,422400,522750000,665600000,1,61.31684
4,422400,522750000,2133000000,1,53.894524
4,422400,522750000,3199000000,1,56.854874
8,422400,522750000,665600000,1,53.943222
8,422400,522750000,2133000000,1,48.231915
8,422400,522750000,3199000000,1,52.50374
12,422400,522750000,665600000,1,51.494896
12,422400,522750000,2133000000,1,46.858562
12,422400,522750000,3199000000,1,49.810516
4,422400,726750000,665600000,1,58.030434
4,422400,726750000,2133000000,1,54.80992
4,422400,726750000,3199000000,1,56.962067
8,422400,726750000,665600000,1,52.587723
8,422400,726750000,2133000000,1,49.184303
8,422400,726750000,3199000000,1,52.032368
12,422400,726750000,665600000,1,50.580627
12,422400,726750000,2133000000,1,47.5562
12,422400,726750000,3199000000,1,49.306946
4,422400,930750000,665600000,1,56.95003
4,422400,930750000,2133000000,1,56.310585
4,422400,930750000,3199000000,1,58.09018
8,422400,930750000,665600000,1,52.817574
8,422400,930750000,2133000000,1,50.627724
8,422400,930750000,3199000000,1,52.728622
12,422400,930750000,665600000,1,51.556843
12,422400,930750000,2133000000,1,48.711586
12,422400,930750000,3199000000,1,50.13402
4,422400,1134750000,665600000,1,56.539288
4,422400,1134750000,2133000000,1,58.162125
4,422400,1134750000,3199000000,1,59.73124
8,422400,1134750000,665600000,1,52.844917
8,422400,1134750000,2133000000,1,52.73464
8,422400,1134750000,3199000000,1,53.421158
12,422400,1134750000,665600000,1,52.410995
12,422400,1134750000,2133000000,1,50.498024
12,422400,1134750000,3199000000,1,51.011646
4,422400,1300500000,665600000,1,56.976585
4,422400,1300500000,2133000000,1,59.889977
4,422400,1300500000,3199000000,1,61.282608
8,422400,1300500000,665600000,1,53.19801
8,422400,1300500000,2133000000,1,54.49959
8,422400,1300500000,3199000000,1,54.487885
12,422400,1300500000,665600000,1,53.05829
12,422400,1300500000,2133000000,1,51.920692
12,422400,1300500000,3199000000,1,51.876156
4,729600,114750000,665600000,1,103.33879
4,729600,114750000,2133000000,1,57.195587
4,729600,114750000,3199000000,1,66.179474
8,729600,114750000,665600000,1,69.85736
8,729600,114750000,2133000000,1,43.482826
8,729600,114750000,3199000000,1,51.58776
12,729600,114750000,665600000,1,65.44694
12,729600,114750000,2133000000,1,45.10532
12,729600,114750000,3199000000,1,51.418983
4,729600,318750000,665600000,1,59.49646
4,729600,318750000,2133000000,1,38.45849
4,729600,318750000,3199000000,1,41.23059
8,729600,318750000,665600000,1,46.910027
8,729600,318750000,2133000000,1,35.22077
8,729600,318750000,3199000000,1,39.37513
12,729600,318750000,665600000,1,46.535618
12,729600,318750000,2133000000,1,34.93455
12,729600,318750000,3199000000,1,38.639645
4,729600,522750000,665600000,1,52.500763
4,729600,522750000,2133000000,1,41.66208
4,729600,522750000,3199000000,1,46.525124
8,729600,522750000,665600000,1,44.52365
8,729600,522750000,2133000000,1,38.528778
8,729600,522750000,3199000000,1,44.286606
12,729600,522750000,665600000,1,43.926678
12,729600,522750000,2133000000,1,38.418587
12,729600,522750000,3199000000,1,42.949467
4,729600,726750000,665600000,1,49.23431
4,729600,726750000,2133000000,1,44.13715
4,729600,726750000,3199000000,1,48.46203
8,729600,726750000,665600000,1,43.9318
8,729600,726750000,2133000000,1,40.993954
8,729600,726750000,3199000000,1,45.20609
12,729600,726750000,665600000,1,43.399353
12,729600,726750000,2133000000,1,41.00351
12,729600,726750000,3199000000,1,43.04821
4,729600,930750000,665600000,1,46.45793
4,729600,930750000,2133000000,1,47.21312
4,729600,930750000,3199000000,1,49.10912
8,729600,930750000,665600000,1,43.18518
8,729600,930750000,2133000000,1,43.856186
8,729600,930750000,3199000000,1,45.898342
12,729600,930750000,665600000,1,43.733536
12,729600,930750000,2133000000,1,42.54925
12,729600,930750000,3199000000,1,43.931004
4,729600,1134750000,665600000,1,46.269115
4,729600,1134750000,2133000000,1,49.37426
4,729600,1134750000,3199000000,1,50.103256
8,729600,1134750000,665600000,1,43.977356
8,729600,1134750000,2133000000,1,45.83228
8,729600,1134750000,3199000000,1,46.646946
12,729600,1134750000,665600000,1,44.215153
12,729600,1134750000,2133000000,1,43.940594
12,729600,1134750000,3199000000,1,44.80863
4,729600,1300500000,665600000,1,47.66979
4,729600,1300500000,2133000000,1,50.92079
4,729600,1300500000,3199000000,1,50.884758
8,729600,1300500000,665600000,1,45.257088
8,729600,1300500000,2133000000,1,47.180664
8,729600,1300500000,3199000000,1,47.544178
12,729600,1300500000,665600000,1,45.46678
12,729600,1300500000,2133000000,1,45.154465
12,729600,1300500000,3199000000,1,45.65769
4,1036800,114750000,665600000,1,84.31177
4,1036800,114750000,2133000000,1,50.663723
4,1036800,114750000,3199000000,1,60.552677
8,1036800,114750000,665600000,1,56.395676
8,1036800,114750000,2133000000,1,40.51507
8,1036800,114750000,3199000000,1,47.311012
12,1036800,114750000,665600000,1,57.63353
12,1036800,114750000,2133000000,1,42.082016
12,1036800,114750000,3199000000,1,47.981777
4,1036800,318750000,665600000,1,49.730392
4,1036800,318750000,2133000000,1,34.609947
4,1036800,318750000,3199000000,1,35.233776
8,1036800,318750000,665600000,1,38.49726
8,1036800,318750000,2133000000,1,32.03671
8,1036800,318750000,3199000000,1,32.065647
12,1036800,318750000,665600000,1,40.722355
12,1036800,318750000,2133000000,1,31.398193
12,1036800,318750000,3199000000,1,31.62574
4,1036800,522750000,665600000,1,44.67322
4,1036800,522750000,2133000000,1,35.904564
4,1036800,522750000,3199000000,1,35.436584
8,1036800,522750000,665600000,1,37.88798
8,1036800,522750000,2133000000,1,33.562195
8,1036800,522750000,3199000000,1,33.80158
12,1036800,522750000,665600000,1,38.835804
12,1036800,522750000,2133000000,1,33.34667
12,1036800,522750000,3199000000,1,33.440083
4,1036800,726750000,665600000,1,42.34932
4,1036800,726750000,2133000000,1,34.408394
4,1036800,726750000,3199000000,1,37.72502
8,1036800,726750000,665600000,1,37.80072
8,1036800,726750000,2133000000,1,32.619766
8,1036800,726750000,3199000000,1,36.110764
12,1036800,726750000,665600000,1,39.198822
12,1036800,726750000,2133000000,1,33.385387
12,1036800,726750000,3199000000,1,35.15407
4,1036800,930750000,665600000,1,41.36858
4,1036800,930750000,2133000000,1,35.316185
4,1036800,930750000,3199000000,1,38.710754
8,1036800,930750000,665600000,1,38.68841
8,1036800,930750000,2133000000,1,34.718678
8,1036800,930750000,3199000000,1,37.929478
12,1036800,930750000,665600000,1,39.419613
12,1036800,930750000,2133000000,1,33.741943
12,1036800,930750000,3199000000,1,37.044033
4,1036800,1134750000,665600000,1,39.590378
4,1036800,1134750000,2133000000,1,38.211555
4,1036800,1134750000,3199000000,1,39.64865
8,1036800,1134750000,665600000,1,37.872448
8,1036800,1134750000,2133000000,1,37.42369
8,1036800,1134750000,3199000000,1,39.776417
12,1036800,1134750000,665600000,1,39.233162
12,1036800,1134750000,2133000000,1,36.129246
12,1036800,1134750000,3199000000,1,38.15328
4,1036800,1300500000,665600000,1,40.79422
4,1036800,1300500000,2133000000,1,39.84828
4,1036800,1300500000,3199000000,1,40.512314
8,1036800,1300500000,665600000,1,39.156002
8,1036800,1300500000,2133000000,1,39.59124
8,1036800,1300500000,3199000000,1,40.242523
12,1036800,1300500000,665600000,1,40.134785
12,1036800,1300500000,2133000000,1,38.232784
12,1036800,1300500000,3199000000,1,39.039474
4,1344000,114750000,665600000,1,69.97034
4,1344000,114750000,2133000000,1,47.336792
4,1344000,114750000,3199000000,1,58.115395
8,1344000,114750000,665600000,1,49.731613
8,1344000,114750000,2133000000,1,39.619255
8,1344000,114750000,3199000000,1,45.574028
12,1344000,114750000,665600000,1,53.77021
12,1344000,114750000,2133000000,1,41.403442
12,1344000,114750000,3199000000,1,47.018234
4,1344000,318750000,665600000,1,41.728394
4,1344000,318750000,2133000000,1,31.664366
4,1344000,318750000,3199000000,1,31.69239
8,1344000,318750000,665600000,1,33.810688
8,1344000,318750000,2133000000,1,30.593613
8,1344000,318750000,3199000000,1,30.522413
12,1344000,318750000,665600000,1,36.216408
12,1344000,318750000,2133000000,1,28.933765
12,1344000,318750000,3199000000,1,29.040485
4,1344000,522750000,665600000,1,39.036953
4,1344000,522750000,2133000000,1,32.25503
4,1344000,522750000,3199000000,1,29.16375
8,1344000,522750000,665600000,1,34.10769
8,1344000,522750000,2133000000,1,31.953913
8,1344000,522750000,3199000000,1,29.172943
12,1344000,522750000,665600000,1,35.228893
12,1344000,522750000,2133000000,1,30.340023
12,1344000,522750000,3199000000,1,28.108047
4,1344000,726750000,665600000,1,38.4754
4,1344000,726750000,2133000000,1,29.93541
4,1344000,726750000,3199000000,1,27.87769
8,1344000,726750000,665600000,1,35.14422
8,1344000,726750000,2133000000,1,30.552269
8,1344000,726750000,3199000000,1,27.514292
12,1344000,726750000,665600000,1,36.11336
12,1344000,726750000,2133000000,1,29.10618
12,1344000,726750000,3199000000,1,27.802238
4,1344000,930750000,665600000,1,37.910263
4,1344000,930750000,2133000000,1,28.125305
4,1344000,930750000,3199000000,1,27.188782
8,1344000,930750000,665600000,1,36.56658
8,1344000,930750000,2133000000,1,28.530743
8,1344000,930750000,3199000000,1,27.796106
12,1344000,930750000,665600000,1,36.930443
12,1344000,930750000,2133000000,1,27.84781
12,1344000,930750000,3199000000,1,28.37846
4,1344000,1134750000,665600000,1,36.207924
4,1344000,1134750000,2133000000,1,26.879457
4,1344000,1134750000,3199000000,1,27.96927
8,1344000,1134750000,665600000,1,36.025284
8,1344000,1134750000,2133000000,1,28.146732
8,1344000,1134750000,3199000000,1,28.672525
