powermode,predicted_time,predicted_power,observed_time,observed_power
4_422400_726750000_665600000,250.49826,20.001627,297.3668975830078,17.655
4_422400_318750000_665600000,285.6498,18.09934,316.5086364746094,16.356
4_422400_114750000_665600000,506.00095,16.366982,492.6370391845703,14.751
4_729600_726750000_665600000,230.75285,19.410944,212.9913101196289,19.0205
4_729600_522750000_665600000,236.95645,18.284761,220.56670379638672,18.77
4_729600_318750000_2133000000,195.12979,17.832396,189.643669128418,19.378
4_729600_318750000_665600000,265.50015,17.381365,248.16146087646484,17.763
4_1036800_930750000_3199000000,113.26113,26.141619,108.60142517089844,26.181
4_1036800_522750000_665600000,221.02032,18.068108,215.26022338867188,18.875
4_1036800_318750000_2133000000,183.53639,18.008146,180.6045455932617,20.282
4_1036800_318750000_665600000,251.67747,16.96652,242.17537689208984,17.771
4_1344000_726750000_2133000000,115.73569,22.245413,100.97295761108398,26.377
4_1344000_522750000_2133000000,122.23321,20.12095,117.13849258422852,24.185
4_1344000_522750000_665600000,213.45395,18.317106,214.160270690918,18.975
4_1344000_318750000_665600000,245.60596,17.04798,240.8826599121093,17.7725
4_1651200_930750000_3199000000,83.3481,32.30568,73.19278717041016,33.703
4_1651200_522750000_2133000000,117.449936,21.724615,114.08283233642578,24.692
4_1651200_318750000_665600000,242.61281,17.461521,237.4278030395508,18.263
4_1651200_114750000_2133000000,442.82755,16.187456,466.3780822753906,16.156
4_1651200_114750000_665600000,480.26297,15.572378,470.8514099121094,15.152
4_1958400_1300500000_3199000000,71.48922,42.56285,60.46654319763184,45.6715
4_1958400_930750000_3199000000,77.57777,35.273746,71.23846435546875,35.602
4_1958400_114750000_665600000,481.26135,15.873096,470.464599609375,15.6535
8_422400_726750000_3199000000,148.86206,23.361013,117.75910186767578,22.376
8_422400_522750000_2133000000,153.21564,20.790337,133.59689331054688,20.867
8_422400_522750000_665600000,229.06023,19.387392,225.90522003173828,18.273
8_729600_1134750000_3199000000,161.09534,28.265173,76.56193542480469,30.878
8_729600_930750000_3199000000,135.97887,25.69168,83.33758163452148,29.491
8_729600_726750000_3199000000,117.88656,23.162197,89.561279296875,27.932
8_729600_318750000_665600000,247.77121,17.416267,244.19193267822263,17.768
8_1036800_726750000_2133000000,112.04699,21.307236,99.62395095825195,27.486
8_1036800_522750000_665600000,212.93387,17.950336,212.6914596557617,19.176
8_1036800_114750000_2133000000,441.2986,15.771997,468.3822784423828,16.153
8_1344000_1300500000_3199000000,107.18571,36.04317,61.22177696228027,36.3445
8_1344000_726750000_3199000000,91.2586,26.412764,85.29339218139648,29.436
8_1344000_522750000_2133000000,115.27227,20.208103,115.51087951660156,24.59
8_1651200_1300500000_3199000000,84.29804,39.147793,59.22990417480469,46.474
8_1651200_930750000_3199000000,80.10241,32.422894,70.60168075561523,36.101
8_1651200_522750000_665600000,207.62158,17.996296,208.4086227416992,19.372
8_1651200_318750000_665600000,237.20099,16.418076,236.95193481445312,18.266
8_1958400_1300500000_3199000000,72.59681,42.26593,58.78708839416504,49.687
12_422400_930750000_3199000000,162.16113,27.036139,111.53673553466795,24.771
12_422400_726750000_3199000000,148.01578,25.152935,121.963134765625,20.968
12_422400_522750000_2133000000,140.01009,22.253267,136.51497650146484,20.666
12_422400_318750000_665600000,255.29224,18.373262,252.59534454345703,17.67
12_729600_930750000_3199000000,136.48514,28.386797,80.42830276489258,30.4905
12_729600_726750000_3199000000,118.14652,25.846928,87.85110473632812,28.383
12_1036800_318750000_665600000,239.03894,17.649689,239.7968978881836,18.172
12_1344000_1300500000_3199000000,112.0524,37.170017,61.04492950439453,43.924
12_1651200_1300500000_3199000000,90.098335,39.61135,58.80966567993164,46.5765
12_1651200_114750000_665600000,482.15384,15.472316,470.1104431152344,15.754
12_1958400_114750000_665600000,483.48508,16.079077,469.9612731933594,15.954
