cores,cpu,gpu,mem,predicted_power
4.0,422400.0,114750000.0,665600000.0,15.015188
4.0,422400.0,114750000.0,2133000000.0,15.779252
4.0,422400.0,114750000.0,3199000000.0,16.662943
4.0,422400.0,318750000.0,665600000.0,16.405
4.0,422400.0,318750000.0,2133000000.0,17.776716
4.0,422400.0,318750000.0,3199000000.0,19.366407
4.0,422400.0,522750000.0,665600000.0,17.710474
4.0,422400.0,522750000.0,2133000000.0,19.232178
4.0,422400.0,522750000.0,3199000000.0,21.047428
4.0,422400.0,726750000.0,665600000.0,19.083576
4.0,422400.0,726750000.0,2133000000.0,20.790295
4.0,422400.0,726750000.0,3199000000.0,22.75367
4.0,422400.0,930750000.0,665600000.0,20.500572
4.0,422400.0,930750000.0,2133000000.0,22.390486
4.0,422400.0,930750000.0,3199000000.0,24.85475
4.0,422400.0,1134750000.0,665600000.0,22.000092
4.0,422400.0,1134750000.0,2133000000.0,24.074755
4.0,422400.0,1134750000.0,3199000000.0,27.793627
4.0,422400.0,1300500000.0,665600000.0,23.32969
4.0,422400.0,1300500000.0,2133000000.0,25.699232
4.0,422400.0,1300500000.0,3199000000.0,31.153877
4.0,729600.0,114750000.0,665600000.0,15.113206
4.0,729600.0,114750000.0,2133000000.0,15.978342
4.0,729600.0,114750000.0,3199000000.0,17.05243
4.0,729600.0,318750000.0,665600000.0,16.659065
4.0,729600.0,318750000.0,2133000000.0,18.152637
4.0,729600.0,318750000.0,3199000000.0,20.083506
4.0,729600.0,522750000.0,665600000.0,17.998922
4.0,729600.0,522750000.0,2133000000.0,19.704943
4.0,729600.0,522750000.0,3199000000.0,21.786713
4.0,729600.0,726750000.0,665600000.0,19.392075
4.0,729600.0,726750000.0,2133000000.0,21.349525
4.0,729600.0,726750000.0,3199000000.0,23.732508
4.0,729600.0,930750000.0,665600000.0,20.853199
4.0,729600.0,930750000.0,2133000000.0,23.046814
4.0,729600.0,930750000.0,3199000000.0,26.439716
4.0,729600.0,1134750000.0,665600000.0,22.405052
4.0,729600.0,1134750000.0,2133000000.0,24.966797
4.0,729600.0,1134750000.0,3199000000.0,29.84276
4.0,729600.0,1300500000.0,665600000.0,23.689554
4.0,729600.0,1300500000.0,2133000000.0,27.174452
4.0,729600.0,1300500000.0,3199000000.0,33.629284
4.0,1036800.0,114750000.0,665600000.0,15.249182
4.0,1036800.0,114750000.0,2133000000.0,16.22423
4.0,1036800.0,114750000.0,3199000000.0,17.457289
4.0,1036800.0,318750000.0,665600000.0,16.941698
4.0,1036800.0,318750000.0,2133000000.0,18.695702
4.0,1036800.0,318750000.0,3199000000.0,20.831532
4.0,1036800.0,522750000.0,665600000.0,18.32034
4.0,1036800.0,522750000.0,2133000000.0,20.373026
4.0,1036800.0,522750000.0,3199000000.0,22.70903
4.0,1036800.0,726750000.0,665600000.0,19.751686
4.0,1036800.0,726750000.0,2133000000.0,22.07973
4.0,1036800.0,726750000.0,3199000000.0,25.303291
4.0,1036800.0,930750000.0,665600000.0,21.2761
4.0,1036800.0,930750000.0,2133000000.0,23.938763
4.0,1036800.0,930750000.0,3199000000.0,28.508005
4.0,1036800.0,1134750000.0,665600000.0,22.845999
4.0,1036800.0,1134750000.0,2133000000.0,26.547276
4.0,1036800.0,1134750000.0,3199000000.0,32.339447
4.0,1036800.0,1300500000.0,665600000.0,24.150837
4.0,1036800.0,1300500000.0,2133000000.0,29.274055
4.0,1036800.0,1300500000.0,3199000000.0,36.22262
4.0,1344000.0,114750000.0,665600000.0,15.414228
4.0,1344000.0,114750000.0,2133000000.0,16.579262
4.0,1344000.0,114750000.0,3199000000.0,17.882755
4.0,1344000.0,318750000.0,665600000.0,17.26432
4.0,1344000.0,318750000.0,2133000000.0,19.407713
4.0,1344000.0,318750000.0,3199000000.0,21.481775
4.0,1344000.0,522750000.0,665600000.0,18.69316
4.0,1344000.0,522750000.0,2133000000.0,21.117752
4.0,1344000.0,522750000.0,3199000000.0,24.171206
4.0,1344000.0,726750000.0,665600000.0,20.175663
4.0,1344000.0,726750000.0,2133000000.0,22.93171
4.0,1344000.0,726750000.0,3199000000.0,27.198631
4.0,1344000.0,930750000.0,665600000.0,21.717731
4.0,1344000.0,930750000.0,2133000000.0,25.41519
4.0,1344000.0,930750000.0,3199000000.0,30.644924
4.0,1344000.0,1134750000.0,665600000.0,23.33897
4.0,1344000.0,1134750000.0,2133000000.0,28.498844
4.0,1344000.0,1134750000.0,3199000000.0,35.006416
4.0,1344000.0,1300500000.0,665600000.0,24.796648
4.0,1344000.0,1300500000.0,2133000000.0,31.856333
4.0,1344000.0,1300500000.0,3199000000.0,39.01344
4.0,1651200.0,114750000.0,665600000.0,15.603238
4.0,1651200.0,114750000.0,2133000000.0,16.984474
4.0,1651200.0,114750000.0,3199000000.0,18.353045
4.0,1651200.0,318750000.0,665600000.0,17.641684
4.0,1651200.0,318750000.0,2133000000.0,20.160112
4.0,1651200.0,318750000.0,3199000000.0,22.175657
4.0,1651200.0,522750000.0,665600000.0,19.099249
4.0,1651200.0,522750000.0,2133000000.0,21.947027
4.0,1651200.0,522750000.0,3199000000.0,25.889658
4.0,1651200.0,726750000.0,665600000.0,20.631533
4.0,1651200.0,726750000.0,2133000000.0,24.283102
4.0,1651200.0,726750000.0,3199000000.0,29.33854
4.0,1651200.0,930750000.0,665600000.0,22.31115
4.0,1651200.0,930750000.0,2133000000.0,27.189468
4.0,1651200.0,930750000.0,3199000000.0,32.955124
4.0,1651200.0,1134750000.0,665600000.0,24.153412
4.0,1651200.0,1134750000.0,2133000000.0,30.673843
4.0,1651200.0,1134750000.0,3199000000.0,37.83975
4.0,1651200.0,1300500000.0,665600000.0,26.178827
4.0,1651200.0,1300500000.0,2133000000.0,34.605682
4.0,1651200.0,1300500000.0,3199000000.0,41.88135
4.0,1958400.0,114750000.0,665600000.0,15.845922
4.0,1958400.0,114750000.0,2133000000.0,17.414288
4.0,1958400.0,114750000.0,3199000000.0,18.99028
4.0,1958400.0,318750000.0,665600000.0,18.056288
4.0,1958400.0,318750000.0,2133000000.0,20.975826
4.0,1958400.0,318750000.0,3199000000.0,23.002491
4.0,1958400.0,522750000.0,665600000.0,19.640324
4.0,1958400.0,522750000.0,2133000000.0,23.153366
4.0,1958400.0,522750000.0,3199000000.0,27.421497
