cores,cpu,gpu,mem,predicted_time
4.0,422400.0,114750000.0,665600000.0,459.29977
4.0,422400.0,114750000.0,2133000000.0,457.21402
4.0,422400.0,114750000.0,3199000000.0,459.3143
4.0,422400.0,318750000.0,665600000.0,317.1353
4.0,422400.0,318750000.0,2133000000.0,285.85638
4.0,422400.0,318750000.0,3199000000.0,282.44855
4.0,422400.0,522750000.0,665600000.0,307.36493
4.0,422400.0,522750000.0,2133000000.0,281.75616
4.0,422400.0,522750000.0,3199000000.0,279.81677
4.0,422400.0,726750000.0,665600000.0,307.39056
4.0,422400.0,726750000.0,2133000000.0,289.72137
4.0,422400.0,726750000.0,3199000000.0,288.59943
4.0,422400.0,930750000.0,665600000.0,307.67572
4.0,422400.0,930750000.0,2133000000.0,297.76007
4.0,422400.0,930750000.0,3199000000.0,294.42926
4.0,422400.0,1134750000.0,665600000.0,307.6149
4.0,422400.0,1134750000.0,2133000000.0,304.57925
4.0,422400.0,1134750000.0,3199000000.0,292.16675
4.0,422400.0,1300500000.0,665600000.0,306.90042
4.0,422400.0,1300500000.0,2133000000.0,305.8784
4.0,422400.0,1300500000.0,3199000000.0,285.08035
4.0,729600.0,114750000.0,665600000.0,428.16168
4.0,729600.0,114750000.0,2133000000.0,442.61942
4.0,729600.0,114750000.0,3199000000.0,444.9899
4.0,729600.0,318750000.0,665600000.0,237.28726
4.0,729600.0,318750000.0,2133000000.0,185.6189
4.0,729600.0,318750000.0,3199000000.0,184.75461
4.0,729600.0,522750000.0,665600000.0,216.96072
4.0,729600.0,522750000.0,2133000000.0,167.02306
4.0,729600.0,522750000.0,3199000000.0,168.37733
4.0,729600.0,726750000.0,665600000.0,211.11472
4.0,729600.0,726750000.0,2133000000.0,167.60866
4.0,729600.0,726750000.0,3199000000.0,169.54987
4.0,729600.0,930750000.0,665600000.0,207.42708
4.0,729600.0,930750000.0,2133000000.0,171.39993
4.0,729600.0,930750000.0,3199000000.0,168.67557
4.0,729600.0,1134750000.0,665600000.0,207.37508
4.0,729600.0,1134750000.0,2133000000.0,176.82095
4.0,729600.0,1134750000.0,3199000000.0,166.23831
4.0,729600.0,1300500000.0,665600000.0,208.27213
4.0,729600.0,1300500000.0,2133000000.0,181.1558
4.0,729600.0,1300500000.0,3199000000.0,168.7248
4.0,1036800.0,114750000.0,665600000.0,430.3676
4.0,1036800.0,114750000.0,2133000000.0,443.47723
4.0,1036800.0,114750000.0,3199000000.0,444.82037
4.0,1036800.0,318750000.0,665600000.0,228.94466
4.0,1036800.0,318750000.0,2133000000.0,177.60966
4.0,1036800.0,318750000.0,3199000000.0,175.22482
4.0,1036800.0,522750000.0,665600000.0,210.17416
4.0,1036800.0,522750000.0,2133000000.0,128.43446
4.0,1036800.0,522750000.0,3199000000.0,125.21707
4.0,1036800.0,726750000.0,665600000.0,203.04303
4.0,1036800.0,726750000.0,2133000000.0,123.87372
4.0,1036800.0,726750000.0,3199000000.0,119.86383
4.0,1036800.0,930750000.0,665600000.0,198.82365
4.0,1036800.0,930750000.0,2133000000.0,125.602554
4.0,1036800.0,930750000.0,3199000000.0,119.58359
4.0,1036800.0,1134750000.0,665600000.0,197.18268
4.0,1036800.0,1134750000.0,2133000000.0,125.75404
4.0,1036800.0,1134750000.0,3199000000.0,121.26517
4.0,1036800.0,1300500000.0,665600000.0,196.83582
4.0,1036800.0,1300500000.0,2133000000.0,127.67456
4.0,1036800.0,1300500000.0,3199000000.0,122.74994
4.0,1344000.0,114750000.0,665600000.0,433.00485
4.0,1344000.0,114750000.0,2133000000.0,444.89792
4.0,1344000.0,114750000.0,3199000000.0,446.12738
4.0,1344000.0,318750000.0,665600000.0,226.55417
4.0,1344000.0,318750000.0,2133000000.0,174.20886
4.0,1344000.0,318750000.0,3199000000.0,173.34216
4.0,1344000.0,522750000.0,665600000.0,208.2352
4.0,1344000.0,522750000.0,2133000000.0,122.12828
4.0,1344000.0,522750000.0,3199000000.0,117.59958
4.0,1344000.0,726750000.0,665600000.0,200.98676
4.0,1344000.0,726750000.0,2133000000.0,109.23027
4.0,1344000.0,726750000.0,3199000000.0,98.82074
4.0,1344000.0,930750000.0,665600000.0,197.12326
4.0,1344000.0,930750000.0,2133000000.0,105.89502
4.0,1344000.0,930750000.0,3199000000.0,89.592606
4.0,1344000.0,1134750000.0,665600000.0,195.30682
4.0,1344000.0,1134750000.0,2133000000.0,99.828
4.0,1344000.0,1134750000.0,3199000000.0,92.28819
4.0,1344000.0,1300500000.0,665600000.0,194.46155
4.0,1344000.0,1300500000.0,2133000000.0,97.21741
4.0,1344000.0,1300500000.0,3199000000.0,95.32718
4.0,1651200.0,114750000.0,665600000.0,435.08423
4.0,1651200.0,114750000.0,2133000000.0,446.06882
4.0,1651200.0,114750000.0,3199000000.0,447.3415
4.0,1651200.0,318750000.0,665600000.0,225.88512
4.0,1651200.0,318750000.0,2133000000.0,172.3038
4.0,1651200.0,318750000.0,3199000000.0,172.11185
4.0,1651200.0,522750000.0,665600000.0,206.22739
4.0,1651200.0,522750000.0,2133000000.0,119.02855
4.0,1651200.0,522750000.0,3199000000.0,116.77002
4.0,1651200.0,726750000.0,665600000.0,199.5952
