powermode,bs,predicted_time,predicted_power,observed_time,observed_power
12_422400_114750000_665600000,1,120.349495,14.287629,77.43120193481445,12.944
4_422400_522750000_665600000,1,91.04939,14.800407,77.87096500396729,12.743
8_422400_522750000_665600000,1,73.803635,14.791568,73.0600357055664,13.144
12_729600_114750000_665600000,1,105.059044,14.493559,70.67370414733887,13.4415
4_729600_318750000_665600000,1,78.76155,14.761636,52.35135555267334,13.8945
8_729600_318750000_665600000,1,66.497696,14.761114,51.07784271240234,13.944
4_729600_522750000_665600000,1,69.146866,14.914485,53.919076919555664,13.845
8_729600_522750000_665600000,1,59.618732,14.915921,49.39663410186768,13.945
12_1036800_114750000_665600000,1,99.810486,14.639732,69.72801685333252,13.445
4_1036800_318750000_665600000,1,65.07586,14.844119,46.697378158569336,13.9975
8_1344000_114750000_665600000,1,87.24392,14.672577,69.37694549560547,13.447
4_1344000_318750000_665600000,1,57.419712,14.923351,39.19720649719238,14.2505
12_1344000_318750000_2133000000,1,42.103836,15.764551,31.652331352233887,16.057
4_1344000_522750000_665600000,1,50.221485,15.081051,39.040565490722656,14.451
12_1344000_522750000_665600000,1,54.850403,15.762748,34.291863441467285,14.9015
12_1344000_522750000_2133000000,1,37.81835,16.663647,28.5634994506836,16.358
4_1344000_726750000_665600000,1,47.277523,15.211417,38.2840633392334,14.85
8_1651200_318750000_665600000,1,55.992546,15.093932,32.263755798339844,15.451
4_1651200_522750000_2133000000,1,35.780666,16.662548,27.045249938964844,16.957
8_1651200_522750000_665600000,1,50.79384,15.337844,31.9364070892334,15.852
8_1651200_522750000_2133000000,1,35.03319,17.275257,25.20692348480225,17.459
8_1651200_522750000_3199000000,1,37.27706,17.759392,23.421049118041992,18.161
12_1651200_522750000_665600000,1,55.160023,16.339258,31.55601024627685,16.253
8_1651200_726750000_2133000000,1,34.03871,17.362885,25.15530586242676,17.759
4_1958400_318750000_665600000,1,59.971855,15.218139,32.79447555541992,15.351
8_1958400_522750000_3199000000,1,35.400272,18.71252,20.61474323272705,19.565
12_1958400_522750000_2133000000,1,36.403946,18.810371,21.645307540893555,18.662
12_1958400_522750000_3199000000,1,34.517975,20.171444,19.838452339172363,20.467
4_1958400_930750000_3199000000,1,33.309963,18.577618,22.00508117675781,18.259
8_2201600_522750000_2133000000,1,34.205753,18.976059,20.13683319091797,19.66
8_2201600_726750000_3199000000,1,32.590164,20.488857,18.8596248626709,21.166
12_2201600_726750000_2133000000,1,34.60884,20.950138,19.80733871459961,20.762
12_2201600_726750000_3199000000,1,32.453278,22.118793,18.24653148651123,22.5205
12_2201600_930750000_3199000000,1,32.407265,23.502834,18.141746520996094,23.623
8_2201600_1134750000_3199000000,1,32.07143,23.615036,17.80104637145996,24.375
