cores,cpu,gpu,mem,bs,predicted_power
4,422400,114750000,665600000,1,13.629926
4,422400,114750000,2133000000,1,13.722656
4,422400,114750000,3199000000,1,15.161021
8,422400,114750000,665600000,1,13.517673
8,422400,114750000,2133000000,1,12.733063
8,422400,114750000,3199000000,1,13.961833
12,422400,114750000,665600000,1,15.473134
12,422400,114750000,2133000000,1,14.219707
12,422400,114750000,3199000000,1,15.126237
4,422400,318750000,665600000,1,13.154176
4,422400,318750000,2133000000,1,11.947958
4,422400,318750000,3199000000,1,13.286475
8,422400,318750000,665600000,1,13.776633
8,422400,318750000,2133000000,1,11.808166
8,422400,318750000,3199000000,1,12.712962
12,422400,318750000,665600000,1,16.585213
12,422400,318750000,2133000000,1,14.510619
12,422400,318750000,3199000000,1,15.250883
4,422400,522750000,665600000,1,13.404712
4,422400,522750000,2133000000,1,11.251843
4,422400,522750000,3199000000,1,12.04029
8,422400,522750000,665600000,1,15.023116
8,422400,522750000,2133000000,1,12.330516
8,422400,522750000,3199000000,1,12.917125
12,422400,522750000,665600000,1,18.427876
12,422400,522750000,2133000000,1,16.345716
12,422400,522750000,3199000000,1,16.74016
4,422400,726750000,665600000,1,15.246405
4,422400,726750000,2133000000,1,12.5874815
4,422400,726750000,3199000000,1,12.944402
8,422400,726750000,665600000,1,17.576155
8,422400,726750000,2133000000,1,15.252899
8,422400,726750000,3199000000,1,15.475599
12,422400,726750000,665600000,1,21.262772
12,422400,726750000,2133000000,1,19.997974
12,422400,726750000,3199000000,1,20.075352
4,422400,930750000,665600000,1,18.167896
4,422400,930750000,2133000000,1,15.888627
4,422400,930750000,3199000000,1,16.268698
8,422400,930750000,665600000,1,20.81556
8,422400,930750000,2133000000,1,19.258331
8,422400,930750000,3199000000,1,19.249374
12,422400,930750000,665600000,1,24.877913
12,422400,930750000,2133000000,1,24.008278
12,422400,930750000,3199000000,1,23.947483
4,422400,1134750000,665600000,1,21.684975
4,422400,1134750000,2133000000,1,19.978764
4,422400,1134750000,3199000000,1,20.077038
8,422400,1134750000,665600000,1,24.631187
8,422400,1134750000,2133000000,1,23.418304
8,422400,1134750000,3199000000,1,23.223682
12,422400,1134750000,665600000,1,28.93335
12,422400,1134750000,2133000000,1,28.101372
12,422400,1134750000,3199000000,1,27.978931
4,422400,1300500000,665600000,1,24.924458
4,422400,1300500000,2133000000,1,23.493238
4,422400,1300500000,3199000000,1,23.455042
8,422400,1300500000,665600000,1,28.013489
8,422400,1300500000,2133000000,1,26.94267
