cores,cpu,gpu,mem,bs,predicted_time
4,422400,114750000,665600000,1,161.73288
4,422400,114750000,2133000000,1,97.577156
4,422400,114750000,3199000000,1,124.4841
8,422400,114750000,665600000,1,123.80233
8,422400,114750000,2133000000,1,84.50687
8,422400,114750000,3199000000,1,106.560295
12,422400,114750000,665600000,1,120.349495
12,422400,114750000,2133000000,1,86.72119
12,422400,114750000,3199000000,1,105.79433
4,422400,318750000,665600000,1,101.37403
4,422400,318750000,2133000000,1,59.398205
4,422400,318750000,3199000000,1,70.64067
8,422400,318750000,665600000,1,81.04337
8,422400,318750000,2133000000,1,55.359688
8,422400,318750000,3199000000,1,66.38045
12,422400,318750000,665600000,1,77.03947
12,422400,318750000,2133000000,1,54.15188
12,422400,318750000,3199000000,1,63.155586
4,422400,522750000,665600000,1,91.04939
4,422400,522750000,2133000000,1,53.611595
4,422400,522750000,3199000000,1,63.6119
8,422400,522750000,665600000,1,73.803635
8,422400,522750000,2133000000,1,49.269474
8,422400,522750000,3199000000,1,59.473824
12,422400,522750000,665600000,1,69.3249
12,422400,522750000,2133000000,1,48.488773
12,422400,522750000,3199000000,1,56.005524
4,422400,726750000,665600000,1,88.591774
4,422400,726750000,2133000000,1,49.356617
4,422400,726750000,3199000000,1,59.3125
8,422400,726750000,665600000,1,71.76822
8,422400,726750000,2133000000,1,44.270996
8,422400,726750000,3199000000,1,55.06472
12,422400,726750000,665600000,1,66.7154
12,422400,726750000,2133000000,1,43.92833
12,422400,726750000,3199000000,1,52.054337
4,422400,930750000,665600000,1,92.06283
4,422400,930750000,2133000000,1,46.822895
4,422400,930750000,3199000000,1,56.22146
8,422400,930750000,665600000,1,73.2553
8,422400,930750000,2133000000,1,42.19945
8,422400,930750000,3199000000,1,51.47792
12,422400,930750000,665600000,1,67.73694
12,422400,930750000,2133000000,1,41.562916
12,422400,930750000,3199000000,1,49.786816
4,422400,1134750000,665600000,1,98.96993
4,422400,1134750000,2133000000,1,47.836155
4,422400,1134750000,3199000000,1,56.15583
8,422400,1134750000,665600000,1,78.88927
8,422400,1134750000,2133000000,1,42.955338
8,422400,1134750000,3199000000,1,49.966812
12,422400,1134750000,665600000,1,71.37232
12,422400,1134750000,2133000000,1,43.163483
12,422400,1134750000,3199000000,1,47.745415
4,422400,1300500000,665600000,1,106.271645
4,422400,1300500000,2133000000,1,52.396988
4,422400,1300500000,3199000000,1,67.32595
8,422400,1300500000,665600000,1,85.933754
8,422400,1300500000,2133000000,1,46.50865
8,422400,1300500000,3199000000,1,49.896057
12,422400,1300500000,665600000,1,78.31865
12,422400,1300500000,2133000000,1,45.813297
12,422400,1300500000,3199000000,1,47.65197
4,729600,114750000,665600000,1,129.55423
4,729600,114750000,2133000000,1,84.51986
4,729600,114750000,3199000000,1,108.78548
8,729600,114750000,665600000,1,102.22933
8,729600,114750000,2133000000,1,72.00652
8,729600,114750000,3199000000,1,91.646286
12,729600,114750000,665600000,1,105.059044
12,729600,114750000,2133000000,1,75.13938
12,729600,114750000,3199000000,1,90.450645
4,729600,318750000,665600000,1,78.76155
4,729600,318750000,2133000000,1,50.449825
4,729600,318750000,3199000000,1,61.860516
8,729600,318750000,665600000,1,66.497696
8,729600,318750000,2133000000,1,47.126095
8,729600,318750000,3199000000,1,56.99289
12,729600,318750000,665600000,1,67.4375
12,729600,318750000,2133000000,1,47.119755
12,729600,318750000,3199000000,1,53.827267
4,729600,522750000,665600000,1,69.146866
4,729600,522750000,2133000000,1,44.185158
4,729600,522750000,3199000000,1,54.582375
8,729600,522750000,665600000,1,59.618732
8,729600,522750000,2133000000,1,41.993492
8,729600,522750000,3199000000,1,50.90908
12,729600,522750000,665600000,1,60.608665
12,729600,522750000,2133000000,1,42.011677
12,729600,522750000,3199000000,1,47.453533
4,729600,726750000,665600000,1,66.63849
4,729600,726750000,2133000000,1,40.379623
4,729600,726750000,3199000000,1,50.59601
8,729600,726750000,665600000,1,57.0564
8,729600,726750000,2133000000,1,38.044197
8,729600,726750000,3199000000,1,47.123207
12,729600,726750000,665600000,1,57.670288
12,729600,726750000,2133000000,1,38.467747
12,729600,726750000,3199000000,1,44.343117
4,729600,930750000,665600000,1,68.5943
4,729600,930750000,2133000000,1,38.637505
4,729600,930750000,3199000000,1,47.552864
8,729600,930750000,665600000,1,57.358105
8,729600,930750000,2133000000,1,36.92198
8,729600,930750000,3199000000,1,44.10829
12,729600,930750000,665600000,1,56.151413
12,729600,930750000,2133000000,1,37.38469
12,729600,930750000,3199000000,1,42.078262
4,729600,1134750000,665600000,1,75.31418
4,729600,1134750000,2133000000,1,39.26366
4,729600,1134750000,3199000000,1,46.26544
8,729600,1134750000,665600000,1,61.039856
8,729600,1134750000,2133000000,1,37.26011
8,729600,1134750000,3199000000,1,42.819653
12,729600,1134750000,665600000,1,58.30078
12,729600,1134750000,2133000000,1,38.37522
12,729600,1134750000,3199000000,1,41.65211
4,729600,1300500000,665600000,1,82.87156
4,729600,1300500000,2133000000,1,41.437294
4,729600,1300500000,3199000000,1,52.009308
8,729600,1300500000,665600000,1,67.52236
8,729600,1300500000,2133000000,1,40.017963
8,729600,1300500000,3199000000,1,42.638878
12,729600,1300500000,665600000,1,64.83067
12,729600,1300500000,2133000000,1,39.888744
12,729600,1300500000,3199000000,1,41.857212
4,1036800,114750000,665600000,1,109.518394
4,1036800,114750000,2133000000,1,77.812164
4,1036800,114750000,3199000000,1,101.652504
8,1036800,114750000,665600000,1,91.193565
8,1036800,114750000,2133000000,1,67.584404
8,1036800,114750000,3199000000,1,84.189964
12,1036800,114750000,665600000,1,99.810486
12,1036800,114750000,2133000000,1,70.17098
12,1036800,114750000,3199000000,1,82.24954
4,1036800,318750000,665600000,1,65.07586
4,1036800,318750000,2133000000,1,46.1038
4,1036800,318750000,3199000000,1,56.179424
8,1036800,318750000,665600000,1,58.502487
8,1036800,318750000,2133000000,1,43.672565
8,1036800,318750000,3199000000,1,50.591576
12,1036800,318750000,665600000,1,62.66551
12,1036800,318750000,2133000000,1,43.801865
12,1036800,318750000,3199000000,1,47.24022
4,1036800,522750000,665600000,1,56.923832
4,1036800,522750000,2133000000,1,40.515923
4,1036800,522750000,3199000000,1,47.92947
8,1036800,522750000,665600000,1,52.83155
8,1036800,522750000,2133000000,1,39.12075
8,1036800,522750000,3199000000,1,44.4857
12,1036800,522750000,665600000,1,56.53485
12,1036800,522750000,2133000000,1,39.618988
12,1036800,522750000,3199000000,1,41.678974
4,1036800,726750000,665600000,1,53.722393
4,1036800,726750000,2133000000,1,37.270348
4,1036800,726750000,3199000000,1,44.157265
8,1036800,726750000,665600000,1,50.04937
8,1036800,726750000,2133000000,1,35.639038
8,1036800,726750000,3199000000,1,41.066967
12,1036800,726750000,665600000,1,54.832767
12,1036800,726750000,2133000000,1,36.13222
12,1036800,726750000,3199000000,1,38.792137
4,1036800,930750000,665600000,1,55.419838
4,1036800,930750000,2133000000,1,35.532436
4,1036800,930750000,3199000000,1,41.784126
8,1036800,930750000,665600000,1,48.937183
8,1036800,930750000,2133000000,1,34.89604
8,1036800,930750000,3199000000,1,38.80123
12,1036800,930750000,665600000,1,52.67015
12,1036800,930750000,2133000000,1,35.45897
12,1036800,930750000,3199000000,1,37.497616
4,1036800,1134750000,665600000,1,60.29735
4,1036800,1134750000,2133000000,1,35.271584
