powermode,predicted_time,predicted_power,observed_time,observed_power
4_422400_318750000_665600000,772.81525,12.838028,893.4187889099121,12.3805
4_1344000_726750000_2133000000,295.07965,15.854834,317.889928817749,15.913
4_1344000_522750000_2133000000,334.45435,15.134399,331.16376399993896,15.511
4_1651200_726750000_2133000000,256.92358,16.780754,270.25139331817627,16.7705
4_1958400_930750000_3199000000,204.05872,19.687193,205.2686214447021,19.736
4_1958400_726750000_3199000000,237.01038,18.723175,225.29780864715576,18.479
4_2201600_1300500000_3199000000,188.02899,22.572016,180.2200078964233,23.562
4_2201600_1134750000_2133000000,213.02983,20.737072,202.9516696929932,20.74
4_2201600_930750000_3199000000,194.34721,20.516779,191.9349431991577,20.743
4_2201600_726750000_3199000000,223.79376,19.528465,211.64727210998527,19.435
8_729600_522750000_2133000000,500.13104,14.096585,464.2233848571777,14.202
8_729600_522750000_665600000,579.1786,13.411906,543.0526733398438,13.289
8_1036800_522750000_2133000000,369.45316,14.592785,369.10879611968994,14.806
8_1036800_522750000_665600000,475.11484,13.733159,480.57496547698975,13.8485
8_1344000_726750000_2133000000,275.76425,16.198982,302.507758140564,15.916
8_1344000_522750000_2133000000,309.6059,15.4069395,327.60119438171387,15.612
8_1344000_522750000_665600000,425.75177,14.332732,452.4499177932739,14.504
8_1651200_930750000_2133000000,233.43707,17.961988,251.47318840026853,17.525
8_1651200_726750000_2133000000,247.68927,17.129286,264.4364833831787,17.123
8_1958400_930750000_3199000000,204.46115,19.849586,205.17802238464355,20.336
8_1958400_726750000_2133000000,231.12874,18.085915,240.0393486022949,17.723
8_1958400_726750000_3199000000,224.03868,19.010359,223.0827808380127,19.0825
8_2201600_1134750000_3199000000,189.28525,21.639591,186.3731145858765,22.243
8_2201600_930750000_3199000000,191.9206,20.652126,189.3515586853028,21.25
12_422400_318750000_665600000,769.9944,13.035704,776.8474817276001,12.583
12_729600_522750000_665600000,590.223,13.548063,542.453408241272,13.7905
12_729600_318750000_665600000,636.1233,13.272585,596.7756509780884,13.186
12_1036800_522750000_2133000000,384.2637,14.93454,355.4750680923462,15.41
12_1344000_726750000_2133000000,292.802,16.59655,293.140172958374,16.214
12_1651200_726750000_2133000000,260.4997,17.5538,259.9821090698242,17.321
12_1958400_726750000_2133000000,249.01637,18.54357,236.2844944000244,17.724
12_1958400_726750000_3199000000,223.9758,19.632769,222.3172187805176,19.4325
12_2201600_1134750000_3199000000,208.68317,22.074549,183.76147747039795,22.948
