cores,cpu,gpu,mem,predicted_power
4.0,422400.0,114750000.0,665600000.0,12.632297
4.0,422400.0,114750000.0,2133000000.0,13.304593
4.0,422400.0,114750000.0,3199000000.0,13.844331
4.0,422400.0,318750000.0,665600000.0,12.838028
4.0,422400.0,318750000.0,2133000000.0,13.536217
4.0,422400.0,318750000.0,3199000000.0,14.080669
4.0,422400.0,522750000.0,665600000.0,13.081287
4.0,422400.0,522750000.0,2133000000.0,13.77713
4.0,422400.0,522750000.0,3199000000.0,14.355046
4.0,422400.0,726750000.0,665600000.0,13.353685
4.0,422400.0,726750000.0,2133000000.0,14.072806
4.0,422400.0,726750000.0,3199000000.0,14.711105
4.0,422400.0,930750000.0,665600000.0,13.75572
4.0,422400.0,930750000.0,2133000000.0,14.468143
4.0,422400.0,930750000.0,3199000000.0,15.138506
4.0,422400.0,1134750000.0,665600000.0,14.446864
4.0,422400.0,1134750000.0,2133000000.0,14.9915285
4.0,422400.0,1134750000.0,3199000000.0,15.706652
4.0,422400.0,1300500000.0,665600000.0,15.13706
4.0,422400.0,1300500000.0,2133000000.0,15.668868
4.0,422400.0,1300500000.0,3199000000.0,16.374723
4.0,729600.0,114750000.0,665600000.0,12.88928
4.0,729600.0,114750000.0,2133000000.0,13.582192
4.0,729600.0,114750000.0,3199000000.0,14.113926
4.0,729600.0,318750000.0,665600000.0,13.096786
4.0,729600.0,318750000.0,2133000000.0,13.818733
4.0,729600.0,318750000.0,3199000000.0,14.39276
4.0,729600.0,522750000.0,665600000.0,13.333157
4.0,729600.0,522750000.0,2133000000.0,14.113837
4.0,729600.0,522750000.0,3199000000.0,14.764837
4.0,729600.0,726750000.0,665600000.0,13.6920185
4.0,729600.0,726750000.0,2133000000.0,14.517581
4.0,729600.0,726750000.0,3199000000.0,15.19715
4.0,729600.0,930750000.0,665600000.0,14.220259
4.0,729600.0,930750000.0,2133000000.0,15.01089
4.0,729600.0,930750000.0,3199000000.0,15.791939
4.0,729600.0,1134750000.0,665600000.0,15.013765
4.0,729600.0,1134750000.0,2133000000.0,15.701394
4.0,729600.0,1134750000.0,3199000000.0,16.558477
4.0,729600.0,1300500000.0,665600000.0,15.77388
4.0,729600.0,1300500000.0,2133000000.0,16.588587
4.0,729600.0,1300500000.0,3199000000.0,17.421673
4.0,1036800.0,114750000.0,665600000.0,13.157459
4.0,1036800.0,114750000.0,2133000000.0,13.872251
4.0,1036800.0,114750000.0,3199000000.0,14.437408
4.0,1036800.0,318750000.0,665600000.0,13.394664
4.0,1036800.0,318750000.0,2133000000.0,14.172809
4.0,1036800.0,318750000.0,3199000000.0,14.818569
4.0,1036800.0,522750000.0,665600000.0,13.729917
4.0,1036800.0,522750000.0,2133000000.0,14.571003
4.0,1036800.0,522750000.0,3199000000.0,15.263487
4.0,1036800.0,726750000.0,665600000.0,14.2007
4.0,1036800.0,726750000.0,2133000000.0,15.070761
4.0,1036800.0,726750000.0,3199000000.0,15.881591
4.0,1036800.0,930750000.0,665600000.0,14.791521
4.0,1036800.0,930750000.0,2133000000.0,15.745647
4.0,1036800.0,930750000.0,3199000000.0,16.654905
4.0,1036800.0,1134750000.0,665600000.0,15.676132
4.0,1036800.0,1134750000.0,2133000000.0,16.671522
4.0,1036800.0,1134750000.0,3199000000.0,17.563787
4.0,1036800.0,1300500000.0,665600000.0,16.633055
4.0,1036800.0,1300500000.0,2133000000.0,17.655592
4.0,1036800.0,1300500000.0,3199000000.0,18.48943
4.0,1344000.0,114750000.0,665600000.0,13.464604
4.0,1344000.0,114750000.0,2133000000.0,14.251855
4.0,1344000.0,114750000.0,3199000000.0,14.875521
4.0,1344000.0,318750000.0,665600000.0,13.81601
4.0,1344000.0,318750000.0,2133000000.0,14.63902
4.0,1344000.0,318750000.0,3199000000.0,15.341624
4.0,1344000.0,522750000.0,665600000.0,14.275197
4.0,1344000.0,522750000.0,2133000000.0,15.134399
4.0,1344000.0,522750000.0,3199000000.0,15.9837
4.0,1344000.0,726750000.0,665600000.0,14.808859
4.0,1344000.0,726750000.0,2133000000.0,15.854834
4.0,1344000.0,726750000.0,3199000000.0,16.762394
4.0,1344000.0,930750000.0,665600000.0,15.4998865
4.0,1344000.0,930750000.0,2133000000.0,16.678682
4.0,1344000.0,930750000.0,3199000000.0,17.63774
4.0,1344000.0,1134750000.0,665600000.0,16.606821
4.0,1344000.0,1134750000.0,2133000000.0,17.736885
4.0,1344000.0,1134750000.0,3199000000.0,18.613754
4.0,1344000.0,1300500000.0,665600000.0,17.62953
4.0,1344000.0,1300500000.0,2133000000.0,18.732452
4.0,1344000.0,1300500000.0,3199000000.0,19.562592
4.0,1651200.0,114750000.0,665600000.0,13.90261
4.0,1651200.0,114750000.0,2133000000.0,14.726241
4.0,1651200.0,114750000.0,3199000000.0,15.425768
4.0,1651200.0,318750000.0,665600000.0,14.362684
4.0,1651200.0,318750000.0,2133000000.0,15.228445
4.0,1651200.0,318750000.0,3199000000.0,16.087734
4.0,1651200.0,522750000.0,665600000.0,14.896785
4.0,1651200.0,522750000.0,2133000000.0,15.965787
4.0,1651200.0,522750000.0,3199000000.0,16.874153
4.0,1651200.0,726750000.0,665600000.0,15.542403
4.0,1651200.0,726750000.0,2133000000.0,16.780754
4.0,1651200.0,726750000.0,3199000000.0,17.722954
4.0,1651200.0,930750000.0,665600000.0,16.465046
4.0,1651200.0,930750000.0,2133000000.0,17.686804
4.0,1651200.0,930750000.0,3199000000.0,18.64635
4.0,1651200.0,1134750000.0,665600000.0,17.664473
4.0,1651200.0,1134750000.0,2133000000.0,18.810562
4.0,1651200.0,1134750000.0,3199000000.0,19.683096
4.0,1651200.0,1300500000.0,665600000.0,18.672497
4.0,1651200.0,1300500000.0,2133000000.0,19.810457
4.0,1651200.0,1300500000.0,3199000000.0,20.640594
4.0,1958400.0,114750000.0,665600000.0,14.4501705
4.0,1958400.0,114750000.0,2133000000.0,15.352319
4.0,1958400.0,114750000.0,3199000000.0,16.207912
4.0,1958400.0,318750000.0,665600000.0,14.993938
4.0,1958400.0,318750000.0,2133000000.0,16.09108
4.0,1958400.0,318750000.0,3199000000.0,16.98591
4.0,1958400.0,522750000.0,665600000.0,15.674995
4.0,1958400.0,522750000.0,2133000000.0,16.892511
4.0,1958400.0,522750000.0,3199000000.0,17.822824
4.0,1958400.0,726750000.0,665600000.0,16.472658
4.0,1958400.0,726750000.0,2133000000.0,17.758926
4.0,1958400.0,726750000.0,3199000000.0,18.723175
4.0,1958400.0,930750000.0,665600000.0,17.518982
4.0,1958400.0,930750000.0,2133000000.0,18.73922
4.0,1958400.0,930750000.0,3199000000.0,19.687193
4.0,1958400.0,1134750000.0,665600000.0,18.74093
4.0,1958400.0,1134750000.0,2133000000.0,19.88424
4.0,1958400.0,1134750000.0,3199000000.0,20.75259
4.0,1958400.0,1300500000.0,665600000.0,19.745735
4.0,1958400.0,1300500000.0,2133000000.0,20.888456
4.0,1958400.0,1300500000.0,3199000000.0,21.718596
4.0,2201600.0,114750000.0,665600000.0,14.957562
4.0,2201600.0,114750000.0,2133000000.0,16.03746
4.0,2201600.0,114750000.0,3199000000.0,16.93241
4.0,2201600.0,318750000.0,665600000.0,15.620696
4.0,2201600.0,318750000.0,2133000000.0,16.827566
4.0,2201600.0,318750000.0,3199000000.0,17.728977
4.0,2201600.0,522750000.0,665600000.0,16.411484
4.0,2201600.0,522750000.0,2133000000.0,17.63928
4.0,2201600.0,522750000.0,3199000000.0,18.597399
4.0,2201600.0,726750000.0,665600000.0,17.261934
4.0,2201600.0,726750000.0,2133000000.0,18.563595
4.0,2201600.0,726750000.0,3199000000.0,19.528465
4.0,2201600.0,930750000.0,665600000.0,18.36743
4.0,2201600.0,930750000.0,2133000000.0,19.582687
4.0,2201600.0,930750000.0,3199000000.0,20.516779
4.0,2201600.0,1134750000.0,665600000.0,19.594347
4.0,2201600.0,1134750000.0,2133000000.0,20.737072
4.0,2201600.0,1134750000.0,3199000000.0,21.599669
4.0,2201600.0,1300500000.0,665600000.0,20.599152
4.0,2201600.0,1300500000.0,2133000000.0,21.741879
4.0,2201600.0,1300500000.0,3199000000.0,22.572016
8.0,422400.0,114750000.0,665600000.0,12.692868
8.0,422400.0,114750000.0,2133000000.0,13.372429
8.0,422400.0,114750000.0,3199000000.0,13.916596
8.0,422400.0,318750000.0,665600000.0,12.920257
8.0,422400.0,318750000.0,2133000000.0,13.577426
8.0,422400.0,318750000.0,3199000000.0,14.107355
8.0,422400.0,522750000.0,665600000.0,13.173406
8.0,422400.0,522750000.0,2133000000.0,13.800933
8.0,422400.0,522750000.0,3199000000.0,14.337482
8.0,422400.0,726750000.0,665600000.0,13.440932
8.0,422400.0,726750000.0,2133000000.0,14.034619
8.0,422400.0,726750000.0,3199000000.0,14.679106
8.0,422400.0,930750000.0,665600000.0,13.809577
8.0,422400.0,930750000.0,2133000000.0,14.405264
8.0,422400.0,930750000.0,3199000000.0,15.196886
8.0,422400.0,1134750000.0,665600000.0,14.457522
8.0,422400.0,1134750000.0,2133000000.0,15.101224
8.0,422400.0,1134750000.0,3199000000.0,15.902315
8.0,422400.0,1300500000.0,665600000.0,15.163563
8.0,422400.0,1300500000.0,2133000000.0,15.902552
8.0,422400.0,1300500000.0,3199000000.0,16.625824
8.0,729600.0,114750000.0,665600000.0,12.9230385
8.0,729600.0,114750000.0,2133000000.0,13.634391
8.0,729600.0,114750000.0,3199000000.0,14.18929
8.0,729600.0,318750000.0,665600000.0,13.158303
8.0,729600.0,318750000.0,2133000000.0,13.858224
8.0,729600.0,318750000.0,3199000000.0,14.412111
8.0,729600.0,522750000.0,665600000.0,13.411906
8.0,729600.0,522750000.0,2133000000.0,14.096585
8.0,729600.0,522750000.0,3199000000.0,14.7701435
8.0,729600.0,726750000.0,665600000.0,13.734277
8.0,729600.0,726750000.0,2133000000.0,14.486661
8.0,729600.0,726750000.0,3199000000.0,15.291673
8.0,729600.0,930750000.0,665600000.0,14.290012
8.0,729600.0,930750000.0,2133000000.0,15.149696
8.0,729600.0,930750000.0,3199000000.0,16.014996
8.0,729600.0,1134750000.0,665600000.0,15.106345
8.0,729600.0,1134750000.0,2133000000.0,15.956013
8.0,729600.0,1134750000.0,3199000000.0,16.84045
8.0,729600.0,1300500000.0,665600000.0,15.958044
8.0,729600.0,1300500000.0,2133000000.0,16.805183
8.0,729600.0,1300500000.0,3199000000.0,17.594994
8.0,1036800.0,114750000.0,665600000.0,13.198761
8.0,1036800.0,114750000.0,2133000000.0,13.915515
8.0,1036800.0,114750000.0,3199000000.0,14.531556
8.0,1036800.0,318750000.0,665600000.0,13.4251375
8.0,1036800.0,318750000.0,2133000000.0,14.1660185
8.0,1036800.0,318750000.0,3199000000.0,14.882248
8.0,1036800.0,522750000.0,665600000.0,13.733159
8.0,1036800.0,522750000.0,2133000000.0,14.592785
8.0,1036800.0,522750000.0,3199000000.0,15.406294
8.0,1036800.0,726750000.0,665600000.0,14.26537
8.0,1036800.0,726750000.0,2133000000.0,15.269467
8.0,1036800.0,726750000.0,3199000000.0,16.146326
8.0,1036800.0,930750000.0,665600000.0,14.9493685
8.0,1036800.0,930750000.0,2133000000.0,16.06072
8.0,1036800.0,930750000.0,3199000000.0,16.945074
8.0,1036800.0,1134750000.0,665600000.0,15.963272
8.0,1036800.0,1134750000.0,2133000000.0,16.910622
8.0,1036800.0,1134750000.0,3199000000.0,17.80023
8.0,1036800.0,1300500000.0,665600000.0,16.869862
8.0,1036800.0,1300500000.0,2133000000.0,17.758726
8.0,1036800.0,1300500000.0,3199000000.0,18.59048
8.0,1344000.0,114750000.0,665600000.0,13.488636
8.0,1344000.0,114750000.0,2133000000.0,14.254588
8.0,1344000.0,114750000.0,3199000000.0,15.0700865
8.0,1344000.0,318750000.0,665600000.0,13.809878
8.0,1344000.0,318750000.0,2133000000.0,14.706181
8.0,1344000.0,318750000.0,3199000000.0,15.569457
8.0,1344000.0,522750000.0,665600000.0,14.332732
8.0,1344000.0,522750000.0,2133000000.0,15.4069395
8.0,1344000.0,522750000.0,3199000000.0,16.288092
8.0,1344000.0,726750000.0,665600000.0,14.991088
8.0,1344000.0,726750000.0,2133000000.0,16.198982
8.0,1344000.0,726750000.0,3199000000.0,17.07663
8.0,1344000.0,930750000.0,665600000.0,15.826716
8.0,1344000.0,930750000.0,2133000000.0,17.00261
8.0,1344000.0,930750000.0,3199000000.0,17.90528
8.0,1344000.0,1134750000.0,665600000.0,16.87125
8.0,1344000.0,1134750000.0,2133000000.0,17.889914
8.0,1344000.0,1134750000.0,3199000000.0,18.769064
8.0,1344000.0,1300500000.0,665600000.0,17.806475
8.0,1344000.0,1300500000.0,2133000000.0,18.765266
8.0,1344000.0,1300500000.0,3199000000.0,19.604042
8.0,1651200.0,114750000.0,665600000.0,13.899428
8.0,1651200.0,114750000.0,2133000000.0,14.838411
8.0,1651200.0,114750000.0,3199000000.0,15.813736
8.0,1651200.0,318750000.0,665600000.0,14.440595
8.0,1651200.0,318750000.0,2133000000.0,15.546397
8.0,1651200.0,318750000.0,3199000000.0,16.504698
8.0,1651200.0,522750000.0,665600000.0,15.129119
8.0,1651200.0,522750000.0,2133000000.0,16.337244
8.0,1651200.0,522750000.0,3199000000.0,17.240608
8.0,1651200.0,726750000.0,665600000.0,15.921161
8.0,1651200.0,726750000.0,2133000000.0,17.129286
8.0,1651200.0,726750000.0,3199000000.0,18.023
8.0,1651200.0,930750000.0,665600000.0,16.770334
8.0,1651200.0,930750000.0,2133000000.0,17.961988
8.0,1651200.0,930750000.0,3199000000.0,18.871492
8.0,1651200.0,1134750000.0,665600000.0,17.796787
8.0,1651200.0,1134750000.0,2133000000.0,18.887342
8.0,1651200.0,1134750000.0,3199000000.0,19.76075
8.0,1651200.0,1300500000.0,665600000.0,18.764763
8.0,1651200.0,1300500000.0,2133000000.0,19.805653
8.0,1651200.0,1300500000.0,3199000000.0,20.6537
8.0,1958400.0,114750000.0,665600000.0,14.555093
8.0,1958400.0,114750000.0,2133000000.0,15.717314
8.0,1958400.0,114750000.0,3199000000.0,16.764244
8.0,1958400.0,318750000.0,665600000.0,15.2694235
8.0,1958400.0,318750000.0,2133000000.0,16.486526
8.0,1958400.0,318750000.0,3199000000.0,17.486582
8.0,1958400.0,522750000.0,665600000.0,16.059423
8.0,1958400.0,522750000.0,2133000000.0,17.267548
8.0,1958400.0,522750000.0,3199000000.0,18.222786
8.0,1958400.0,726750000.0,665600000.0,16.860758
8.0,1958400.0,726750000.0,2133000000.0,18.085915
8.0,1958400.0,726750000.0,3199000000.0,19.010359
8.0,1958400.0,930750000.0,665600000.0,17.738543
8.0,1958400.0,930750000.0,2133000000.0,18.927748
8.0,1958400.0,930750000.0,3199000000.0,19.849586
8.0,1958400.0,1134750000.0,665600000.0,18.810007
8.0,1958400.0,1134750000.0,2133000000.0,19.91703
8.0,1958400.0,1134750000.0,3199000000.0,20.796417
8.0,1958400.0,1300500000.0,665600000.0,19.770958
8.0,1958400.0,1300500000.0,2133000000.0,20.876942
8.0,1958400.0,1300500000.0,3199000000.0,21.719994
8.0,2201600.0,114750000.0,665600000.0,15.234842
8.0,2201600.0,114750000.0,2133000000.0,16.492714
8.0,2201600.0,114750000.0,3199000000.0,17.536682
8.0,2201600.0,318750000.0,665600000.0,16.003872
8.0,2201600.0,318750000.0,2133000000.0,17.236984
8.0,2201600.0,318750000.0,3199000000.0,18.266691
8.0,2201600.0,522750000.0,665600000.0,16.795912
8.0,2201600.0,522750000.0,2133000000.0,18.015787
8.0,2201600.0,522750000.0,3199000000.0,19.02517
8.0,2201600.0,726750000.0,665600000.0,17.611824
8.0,2201600.0,726750000.0,2133000000.0,18.850473
8.0,2201600.0,726750000.0,3199000000.0,19.808123
8.0,2201600.0,930750000.0,665600000.0,18.521566
8.0,2201600.0,930750000.0,2133000000.0,19.700798
8.0,2201600.0,930750000.0,3199000000.0,20.652126
8.0,2201600.0,1134750000.0,665600000.0,19.6408
8.0,2201600.0,1134750000.0,2133000000.0,20.761805
8.0,2201600.0,1134750000.0,3199000000.0,21.639591
8.0,2201600.0,1300500000.0,665600000.0,20.620325
8.0,2201600.0,1300500000.0,2133000000.0,21.732082
8.0,2201600.0,1300500000.0,3199000000.0,22.56766
12.0,422400.0,114750000.0,665600000.0,12.790176
12.0,422400.0,114750000.0,2133000000.0,13.483874
12.0,422400.0,114750000.0,3199000000.0,14.172249
12.0,422400.0,318750000.0,665600000.0,13.035704
12.0,422400.0,318750000.0,2133000000.0,13.67144
12.0,422400.0,318750000.0,3199000000.0,14.346917
12.0,422400.0,522750000.0,665600000.0,13.301573
12.0,422400.0,522750000.0,2133000000.0,13.913204
12.0,422400.0,522750000.0,3199000000.0,14.619399
12.0,422400.0,726750000.0,665600000.0,13.613062
12.0,422400.0,726750000.0,2133000000.0,14.247886
12.0,422400.0,726750000.0,3199000000.0,14.98426
12.0,422400.0,930750000.0,665600000.0,14.093001
12.0,422400.0,930750000.0,2133000000.0,14.766187
12.0,422400.0,930750000.0,3199000000.0,15.497736
12.0,422400.0,1134750000.0,665600000.0,14.778696
12.0,422400.0,1134750000.0,2133000000.0,15.524465
12.0,422400.0,1134750000.0,3199000000.0,16.266943
12.0,422400.0,1300500000.0,665600000.0,15.53469
12.0,422400.0,1300500000.0,2133000000.0,16.322023
12.0,422400.0,1300500000.0,3199000000.0,16.986563
12.0,729600.0,114750000.0,665600000.0,13.019124
12.0,729600.0,114750000.0,2133000000.0,13.782274
12.0,729600.0,114750000.0,3199000000.0,14.55187
12.0,729600.0,318750000.0,665600000.0,13.272585
12.0,729600.0,318750000.0,2133000000.0,13.995234
