cores,cpu,gpu,mem,predicted_time
4.0,422400.0,114750000.0,665600000.0,1145.2366
4.0,422400.0,114750000.0,2133000000.0,1125.0857
4.0,422400.0,114750000.0,3199000000.0,1124.9512
4.0,422400.0,318750000.0,665600000.0,886.785
4.0,422400.0,318750000.0,2133000000.0,847.5
4.0,422400.0,318750000.0,3199000000.0,842.7041
4.0,422400.0,522750000.0,665600000.0,871.84174
4.0,422400.0,522750000.0,2133000000.0,834.83405
4.0,422400.0,522750000.0,3199000000.0,832.2369
4.0,422400.0,726750000.0,665600000.0,875.9589
4.0,422400.0,726750000.0,2133000000.0,835.8479
4.0,422400.0,726750000.0,3199000000.0,832.33167
4.0,422400.0,930750000.0,665600000.0,881.59955
4.0,422400.0,930750000.0,2133000000.0,836.71075
4.0,422400.0,930750000.0,3199000000.0,832.0852
4.0,422400.0,1134750000.0,665600000.0,881.1379
4.0,422400.0,1134750000.0,2133000000.0,830.9089
4.0,422400.0,1134750000.0,3199000000.0,825.5217
4.0,422400.0,1300500000.0,665600000.0,891.85846
4.0,422400.0,1300500000.0,2133000000.0,839.9765
4.0,422400.0,1300500000.0,3199000000.0,792.41864
4.0,729600.0,114750000.0,665600000.0,956.8128
4.0,729600.0,114750000.0,2133000000.0,935.11725
4.0,729600.0,114750000.0,3199000000.0,931.169
4.0,729600.0,318750000.0,665600000.0,624.8876
4.0,729600.0,318750000.0,2133000000.0,547.6863
4.0,729600.0,318750000.0,3199000000.0,542.37695
4.0,729600.0,522750000.0,665600000.0,584.1288
4.0,729600.0,522750000.0,2133000000.0,517.02014
4.0,729600.0,522750000.0,3199000000.0,521.81586
4.0,729600.0,726750000.0,665600000.0,577.0428
4.0,729600.0,726750000.0,2133000000.0,520.0834
4.0,729600.0,726750000.0,3199000000.0,507.0424
4.0,729600.0,930750000.0,665600000.0,571.1558
4.0,729600.0,930750000.0,2133000000.0,510.41577
4.0,729600.0,930750000.0,3199000000.0,500.68848
4.0,729600.0,1134750000.0,665600000.0,585.76886
4.0,729600.0,1134750000.0,2133000000.0,507.78717
4.0,729600.0,1134750000.0,3199000000.0,490.37524
4.0,729600.0,1300500000.0,665600000.0,609.85944
4.0,729600.0,1300500000.0,2133000000.0,507.875
4.0,729600.0,1300500000.0,3199000000.0,504.9048
4.0,1036800.0,114750000.0,665600000.0,899.35504
4.0,1036800.0,114750000.0,2133000000.0,880.0666
4.0,1036800.0,114750000.0,3199000000.0,859.68915
4.0,1036800.0,318750000.0,665600000.0,545.97626
4.0,1036800.0,318750000.0,2133000000.0,469.64722
4.0,1036800.0,318750000.0,3199000000.0,442.70663
4.0,1036800.0,522750000.0,665600000.0,493.5501
4.0,1036800.0,522750000.0,2133000000.0,394.8356
4.0,1036800.0,522750000.0,3199000000.0,383.37195
4.0,1036800.0,726750000.0,665600000.0,466.38458
4.0,1036800.0,726750000.0,2133000000.0,367.99493
4.0,1036800.0,726750000.0,3199000000.0,371.68597
4.0,1036800.0,930750000.0,665600000.0,446.8917
4.0,1036800.0,930750000.0,2133000000.0,365.69128
4.0,1036800.0,930750000.0,3199000000.0,374.696
4.0,1036800.0,1134750000.0,665600000.0,457.72266
4.0,1036800.0,1134750000.0,2133000000.0,368.66162
4.0,1036800.0,1134750000.0,3199000000.0,372.2533
4.0,1036800.0,1300500000.0,665600000.0,478.58197
4.0,1036800.0,1300500000.0,2133000000.0,378.6311
4.0,1036800.0,1300500000.0,3199000000.0,372.1561
4.0,1344000.0,114750000.0,665600000.0,861.4294
4.0,1344000.0,114750000.0,2133000000.0,839.6432
4.0,1344000.0,114750000.0,3199000000.0,818.2184
4.0,1344000.0,318750000.0,665600000.0,499.59613
4.0,1344000.0,318750000.0,2133000000.0,427.69382
4.0,1344000.0,318750000.0,3199000000.0,414.4774
4.0,1344000.0,522750000.0,665600000.0,454.6255
4.0,1344000.0,522750000.0,2133000000.0,334.40057
4.0,1344000.0,522750000.0,3199000000.0,337.73724
4.0,1344000.0,726750000.0,665600000.0,432.84998
4.0,1344000.0,726750000.0,2133000000.0,316.9969
4.0,1344000.0,726750000.0,3199000000.0,300.0318
4.0,1344000.0,930750000.0,665600000.0,425.57574
4.0,1344000.0,930750000.0,2133000000.0,303.01288
4.0,1344000.0,930750000.0,3199000000.0,307.328
4.0,1344000.0,1134750000.0,665600000.0,431.5443
4.0,1344000.0,1134750000.0,2133000000.0,306.89807
4.0,1344000.0,1134750000.0,3199000000.0,307.88324
4.0,1344000.0,1300500000.0,665600000.0,447.88455
4.0,1344000.0,1300500000.0,2133000000.0,319.29602
4.0,1344000.0,1300500000.0,3199000000.0,301.02386
4.0,1651200.0,114750000.0,665600000.0,840.77216
4.0,1651200.0,114750000.0,2133000000.0,817.0268
4.0,1651200.0,114750000.0,3199000000.0,810.4496
4.0,1651200.0,318750000.0,665600000.0,473.2564
4.0,1651200.0,318750000.0,2133000000.0,398.26093
4.0,1651200.0,318750000.0,3199000000.0,398.07477
4.0,1651200.0,522750000.0,665600000.0,426.15106
4.0,1651200.0,522750000.0,2133000000.0,309.8913
4.0,1651200.0,522750000.0,3199000000.0,290.1349
4.0,1651200.0,726750000.0,665600000.0,411.32587
4.0,1651200.0,726750000.0,2133000000.0,278.28882
4.0,1651200.0,726750000.0,3199000000.0,260.93552
4.0,1651200.0,930750000.0,665600000.0,396.25537
4.0,1651200.0,930750000.0,2133000000.0,259.87967
4.0,1651200.0,930750000.0,3199000000.0,249.38571
4.0,1651200.0,1134750000.0,665600000.0,395.41522
4.0,1651200.0,1134750000.0,2133000000.0,252.38545
4.0,1651200.0,1134750000.0,3199000000.0,253.41841
4.0,1651200.0,1300500000.0,665600000.0,399.78265
4.0,1651200.0,1300500000.0,2133000000.0,268.93298
4.0,1651200.0,1300500000.0,3199000000.0,244.71333
4.0,1958400.0,114750000.0,665600000.0,835.9019
4.0,1958400.0,114750000.0,2133000000.0,817.8384
4.0,1958400.0,114750000.0,3199000000.0,799.25336
4.0,1958400.0,318750000.0,665600000.0,460.63495
4.0,1958400.0,318750000.0,2133000000.0,379.9535
4.0,1958400.0,318750000.0,3199000000.0,365.64194
4.0,1958400.0,522750000.0,665600000.0,402.8714
4.0,1958400.0,522750000.0,2133000000.0,275.3243
4.0,1958400.0,522750000.0,3199000000.0,265.28275
4.0,1958400.0,726750000.0,665600000.0,383.56775
4.0,1958400.0,726750000.0,2133000000.0,256.05045
4.0,1958400.0,726750000.0,3199000000.0,234.94777
4.0,1958400.0,930750000.0,665600000.0,369.2426
4.0,1958400.0,930750000.0,2133000000.0,239.17642
4.0,1958400.0,930750000.0,3199000000.0,222.99956
4.0,1958400.0,1134750000.0,665600000.0,358.5724
